"TweetID";"User";"Tweet";"Latitude";"Longitude";"IsUrl";"IsHashtag";"IsRetweet";"Language";"Category"
3;"CitizenPatrol";"Aabot sa 2,000 Evacuees sa Sto. Domingo Church nangangailangan ng tubig. #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CH"
4;"yelpalisoc";"@philredcross #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryente at pagkain.";"NULL";"NULL";1;0;0;"tl";"CH"
5;"AngerikBabies41";"Camacho Street Kabayani Road Nangka Marikina needs food and water. Pls. help #ReliefPH #RescuePH #FloodPH #MarioPH @TVPatrol @ABSCBNNews";"NULL";"NULL";1;0;0;"tl";"CH"
6;"IvanGeroDomingo";"Paki rescue po Luloy Cerbito Macopa St, Banawe QC. Yung may maliit na basketball court dun. #RescuePH";"NULL";"NULL";1;0;0;"tl";"CH"
7;"CitizenPatrol";"Isang Ginang natrapped sa bubong sa Blk.44 mais street bgy.tumana. #MarioPH #RescuePH";"NULL";"NULL";1;0;0;"tl";"CH"
8;"CitizenPatrol";"Aabot sa 2,000 Evacuees sa Sto. Domingo Church nangangailangan ng tubig. #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CH"
10;"CitizenPatrol";"Sa Quezon City ,Ilang pamilya, lumikas na sa Holy Family Church sa Roxas District at walang pa ring kuryente ngayon. #MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CH"
11;"garcia_brielle";"RT @ReliefPHcom: Nangka Marikina: call for food and water #urgentcalls #MarioPHÃ‚Â #reliefPH http://t.co/wFOMtdRSqL";"NULL";"NULL";1;1;1;"tl";"CH"
12;"yelpalisoc";"@TheMayorLIM Sir pahelp po magRT #ReliefPH sa Leodegracio Victorino Elem. School po may mga evacuees po, wala daw pong kuryente at pagkain.";"NULL";"NULL";1;0;0;"tl";"CH"
13;"yelpalisoc";"@ABSCBNNews #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryente at pagkain.";"NULL";"NULL";1;0;0;"tl";"CH"
14;"yelpalisoc";"@SagipKapamilya #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryente at pagkain.";"NULL";"NULL";1;0;0;"tl";"CH"
15;"alcantarajohann";"RT @yelpalisoc: @philredcross #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryentÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
16;"justcallmelloyd";"RT @yelpalisoc: @philredcross #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryentÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
17;"yelpalisoc";"@philredcross #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryente at pagkain.";"NULL";"NULL";1;0;0;"tl";"CH"
18;"AngerikBabies41";"Camacho Street Kabayani Road Nangka Marikina needs food and water. Pls. help #ReliefPH #RescuePH #FloodPH #MarioPH @TVPatrol @ABSCBNNews";"NULL";"NULL";1;0;0;"tl";"CH"
19;"yelpalisoc";"@ABSCBNRedAlert #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryente at pagkain.";"NULL";"NULL";1;0;0;"tl";"CH"
20;"garcia_brielle";"RT @AngerikBabies41: Camacho Street Kabayani Road Nangka Marikina needs food and water. Pls. help #ReliefPH #MarioPH @ABSCBNNews @bayanmo";"NULL";"NULL";1;0;1;"tl";"CH"
21;"FoxRn1";"RT @ReliefPHcom: Marikina: relief goods #urgentcalls #MarioPHÃ‚Â #reliefPH http://t.co/C5Aohr0o7M";"NULL";"NULL";1;1;1;"en";"CH"
