"TweetID";"User";"Tweet";"Latitude";"Longitude";"IsUrl";"IsHashtag";"IsRetweet";"Language";"Category"
27;"franciscojessdj";"RT @gmanews: MARILAO, BULACAN Ã¢â‚¬â€ Abot leeg na ang baha sa ilang lugar. Ilang residente ang inilikas. #MarioPH update ni John Consulta.";"NULL";"NULL";1;0;1;"tl";"CA"
28;"jpatrickbulaon";"RT @gmanews: MARILAO, BULACAN Ã¢â‚¬â€ Abot leeg na ang baha sa ilang lugar. Ilang residente ang inilikas. #MarioPH update ni John Consulta.";"NULL";"NULL";1;0;1;"tl";"CA"
29;"franzadrian_";"RT @gmanews: MARILAO, BULACAN Ã¢â‚¬â€ Abot leeg na ang baha sa ilang lugar. Ilang residente ang inilikas. #MarioPH update ni John Consulta.";"NULL";"NULL";1;0;1;"tl";"CA"
30;"NinzRosales";"RT @gmanews: MARILAO, BULACAN Ã¢â‚¬â€ Abot leeg na ang baha sa ilang lugar. Ilang residente ang inilikas. #MarioPH update ni John Consulta.";"NULL";"NULL";1;0;1;"tl";"CA"
31;"erwinmappatao88";"RT @LaoMamba: OPEN ANG PSBA-QC PARA MASILUNGAN NGAYON. Just contact 09272214969 for more info #FloodPH #RescuePH #MarioPH";"NULL";"NULL";1;0;1;"tl";"CA"
43;"iamkish5";"lalong lumalakas ang ulan, keep safe everyone! mag evacuate na kung sobrang taas na baha. #MarioPH";"NULL";"NULL";1;0;0;"tl";"CA"
49;"TyphoonWatchPH";"garapata_:High and Dry pa rin #resquePH #safeNow #reliefPh #floodPh #walangPasok #traffi... http://t.co/b7JnBbZ9z7 http://t.co/B7tLlvgdNW";"NULL";"NULL";1;1;0;"tl";"CA"
50;"TyphoonWatchPH";"garapata_:High and Dry pa rin #resquePH #safeNow #reliefPh #floodPh #walangPasok #traffi... http://t.co/b7JnBbZ9z7 http://t.co/B7tLlvgdNW";"NULL";"NULL";1;1;0;"tl";"CA"
51;"TyphoonWatchPH";"garapata_:High and Dry pa rin #resquePH #safeNow #reliefPh #floodPh #walangPasok #traffi... http://t.co/b7JnBbZ9z7 http://t.co/B7tLlvgdNW";"NULL";"NULL";1;1;0;"tl";"CA"
52;"TyphoonWatchPH";"garapata_:High and Dry pa rin #resquePH #safeNow #reliefPh #floodPh #walangPasok #traffi... http://t.co/b7JnBbZ9z7 http://t.co/B7tLlvgdNW";"NULL";"NULL";1;1;0;"tl";"CA"
53;"TyphoonWatchPH";"garapata_:High and Dry pa rin #resquePH #safeNow #reliefPh #floodPh #walangPasok #traffi... http://t.co/b7JnBbZ9z7 http://t.co/B7tLlvgdNW";"NULL";"NULL";1;1;0;"tl";"CA"
57;"JrLandCo";"#nopower sa amin lng #royalplazatwintowercondominium";"NULL";"NULL";1;0;0;"tl";"CA"
68;"OnlinePhil";"RT @officialdohgov: EMERGENCY HOTLINES: Paalala po ngayong tag-ulan. Magingat po tayo ingat. #walangpasok #MarioPH #FloodPH http://t.co/0uVÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CA"
69;"CitizenPatrol";"Marikina at Cainta, isinailalim na sa state of calamity. #MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CA"
76;"CitizenPatrol";"Sa Tullahan sa Valenzuela, mga Motorsiklo, isinakay na sa balsa para maitawid lang sa baha. #MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CA"
79;"CitizenPatrol";"20-25% ng Metro Manila, binaha. #MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CA"
80;"sanjuncssr";"RT @CitizenPatrol: 20-25% ng Metro Manila, binaha. #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl";"CA"
81;"CitizenPatrol";"Tubig sa Pasig River, patuloy na tumataas. #MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CA"
83;"sanjuncssr";"RT @CitizenPatrol: Tubig sa Pasig River, patuloy na tumataas. #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl";"CA"
84;"cristineongson";"RT @officialdohgov: EMERGENCY HOTLINES: Paalala po ngayong tag-ulan. Magingat po tayo ingat. #walangpasok #MarioPH #FloodPH http://t.co/0uVÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CA"
85;"cristineongson";"RT @officialdohgov: Umiwas po tayo sa paglusong sa baha dahil ito ay pwedeng magdulot ng #LEPTOSPIROSIS #MarioPH #FloodPH http://t.co/IdsjuÃ¢â‚¬Â¦";"NULL";"NULL";1;1;1;"tl";"CA"
86;"cristineongson";"RT @officialdohgov: #HASHTAG HOTLINES: Paalala po ngayong tag-ulan. Magingat po tayo ingat. #walangpasok #MarioPH #FloodPH http://t.co/4fkxÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CA"
90;"jhilaine_jc";"@MMDA @MarikinaPIO passable na po Rob Metro East pati Marcos Hway... Kadadaan ko lang :) pero baha po sa ilalim SM Marikina";"NULL";"NULL";0;0;0;"tl";"CA"
91;"rima_anne";"Baha pala sa pampanga.";"NULL";"NULL";0;0;0;"tl";"CA"
92;"imbeaman";"@kennyroGELs sa condo huhu baha sa p. Noval e";"NULL";"NULL";0;0;0;"pt";"CA"
93;"EspiriTruth";"RT @ABSCBNNews: Lagpas gutter ang baha sa Liwasang Bonifacio (Padre Burgos, Mla) #MarioPH http://t.co/SejkhCvA7p |via @zhandercayabyab";"NULL";"NULL";1;0;1;"tl";"CA"
94;"parengsnowbell";"RT @hadjirieta: Mataas pa rin ang baha sa bahaging ito ng Espaâ€™Â±a Boulevard sa Maynila dahil sa walang tigil na ulan. #MarioPH http://t.co/eÅ â€”_";"NULL";"NULL";1;0;1;"tl";"CA"
95;"pinoy_e";"""@GMANewsOnline: VIDEO: Mga maliliit na sasakyan, hindi makatawid sa baha sa kahabaan ng Espaâ€™Ã›ÃŽÂ±a, Manila http://t.co/jXQYTRKEGl""";"NULL";"NULL";0;1;0;"tl";"CA"
96;"pinoy_e";"""@GMANewsOnline: VIDEO: 5 bayan sa Bulacan, lubog sa baha http://t.co/EVeqwvS100""";"NULL";"NULL";0;1;0;"tl";"CA"
97;"JanryOfficial";"RT @rapplerdotcom: #FloodPH Quezon City. Follow our #MarioPH LIVE BLOG: http://t.co/eEphgS4eu5 http://t.co/KlHmEK6M4U";"NULL";"NULL";1;1;1;"en";"CA"
98;"lukrexiaAligaga";"RT @unetaelrhey: MARIKINA NEWS POST - Bumaba ng kaunti ang ating tubig baha sa ilog: 19.7 meters as of 9:37pm. Maging handa po tayo.";"NULL";"NULL";0;0;1;"tl";"CA"
99;"Chuuukkk";"RT @clingyboypren: Hanggang leeg na ung baha sa Kalentong. Stay safe rizalians! ?? #MarioPH http://t.co/nXAwDNmyUJ";"NULL";"NULL";1;0;1;"tl";"CA"
