"TweetID";"User";;"Latitude";"Longitude";"IsUrl";"IsHashtag";"IsRetweet";"Language";"Category"
2;"USTRCYCENG";"RT @varsitarianust: Evacuees at Sto. Domingo Church in QC have reached 2.5k. @UST_CSC calling for volunteers tomorrow, 6am call time. #ReliÅ â€”_";"NULL";"NULL";1;0;1;"en";"CD"
103;"YoItsEllaoiG";"RT @DZMMTeleRadyo: Tulay sa CamNorte, nawasak ng baha; Quirino Hiway ang daan pa-Daet (Photo from @PRO5React) http://t.co/l9AopM1Zmy httpÅ â€”_";"NULL";"NULL";0;1;1;"tl";"CD"
272;"CitizenPatrol";"Mahigit 3,000 pamilya, apektado ng baha sa Candaba, Pampanga. #MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CD"
289;"sanjuncssr";"RT @CitizenPatrol: ilang residente sa marikina inilikas na sa Malanday Elem. School. #MarioPH #ReliefPH";"NULL";"NULL";1;0;1;"tl";"CD"
290;"sanjuncssr";"RT @CitizenPatrol: ilang residente sa marikina inilikas na sa din sa pilipinas at sampaguita village . #MarioPH #ReliefPH";"NULL";"NULL";1;0;1;"tl";"CD"
437;"CitizenPatrol";"Sa dist. 4 brgy. 576 d. santiago ay tinatayang 50 pamilya ang apektado ng bagyong mario. #MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CD"
725;"CitizenPatrol";"Sa muntinlupa may 60 pamilya sa cupang at 50 sa tunasan (cuyab) ay apektado dulot ng bagyo.#MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CD"
734;"CitizenPatrol";"Sa paranaque, 60 pamilya ang inilikas sa silverio creek at 30 sa fastrack. #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CD"
735;"CitizenPatrol";"15 pamilya sa Pasay,brgy 184 ang kasalukuyang nasa brgy.hall at 15 naman ang nasa daycare . #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CD"
1223;"katolikongpinoy";"RT @varsitarianust: 2.5k evacuees in Sto. Domingo Church, QC as of of 8PM. SOURCE: DOMNET #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"en";"CD"
1224;"CitizenPatrol";"Sa brgy 162 sta.Quiteria ay tinatayang may 148 at gayun din sa brgy 164 na may 101 na pamilya ang apektado dulot ng bagyo. #MarioPH";"NULL";"NULL";1;0;0;"tl";"CD"
1225;"KeniticChoy";"RT @stateofdnation: Mahigit limandaang pamilya ang kinailangang ilikas sa Malabon dahil sa matinding baha. LIVE si @tinapperez.";"NULL";"NULL";0;0;1;"tl";"CD"
