"TweetID";"User";"Tweet";"Latitude";"Longitude";"IsHashtag";"IsURL";"IsRetweet";"Language";"Category"
1;"candleJOAQS";"RT @IMReadyPH: Sa latest forecast track ng @dost_pagasa, bukas ng umaga ito papasok ng PAR. Papangalanan itong #RubyPH. http://t.co/104989O…";"NULL";"NULL";1;0;1;"tl";"CA"
2;"Marvinvilla1970";"RT @nababaha: #RubyPH advisory in #Hiligaynon Maghanda na kita! Ginabantayan ang umaabot nga pagsulod sa Philippine Area of... http://t.c…";"NULL";"NULL";1;1;1;"tl";"CA"
3;"MarielleAbby";"Magdasal at mag-ingat. #RubyPH";12.070436;124.591466;1;0;0;"tl";"CA"
4;"chrlnhnrb";"""@MarielleAbby: Magdasal at mag-ingat. #RubyPH""";"NULL";"NULL";1;0;0;"tl";"CA"
5;"orlino_peter";"RT @bamaquino: [TeamBam] Maging handa po tayo sa posibleng pananalasa ni bagyong Hagupit. Pls. retweet. #HagupitPH #RubyPH #FloodPH http://…";"NULL";"NULL";1;0;1;"tl";"CA"
6;"kayAMELIAito";"RT @bamaquino: [TeamBam] Maging handa po tayo sa posibleng pananalasa ni bagyong Hagupit. Pls. retweet. #HagupitPH #RubyPH #FloodPH http://…";"NULL";"NULL";1;0;1;"tl";"CA"
7;"KiligLoveQuotes";"#PrayForPhilippines #RubyPH Ito yung mga lugar kung saan mag ta-tama ang Bagyong Ruby http://t.co/ASYJendcVi";"NULL";"NULL";1;0;0;"tl";"CA"
8;"kharaination";"My beloved hometown hernani E.Samar nilindol..#RubyPH #keepsafe";"NULL";"NULL";1;0;0;"tl";"CA"
9;"EdisonLeeCurtis";"RT @nababaha: Latest PAGASA Forecast Track for #RubyPH As of December 3, 2014 05:00PM Bukas ng umaga inaasahang papasok na sa... http://t.…";"NULL";"NULL";1;1;1;"tl";"CA"
10;"nababaha";"Latest PAGASA Forecast Track for #RubyPH As of December 3, 2014 11:00PM Bagamat bahagyang bumagal, bukas pa rin... http://t.co/rPDep7PWVN";"NULL";"NULL";1;1;0;"tl";"CA"
11;"veralynneeee";"RT @nababaha: Latest PAGASA Forecast Track for #RubyPH As of December 3, 2014 11:00PM Bagamat bahagyang bumagal, bukas pa rin... http://t.…";"NULL";"NULL";1;1;1;"tl";"CA"
12;"UNTVweb";"#RubyPH: MMDA suspends number coding in Metro Manila — PIA NCR http://t.co/SkBjT7GTrk";"NULL";"NULL";1;1;0;"tl";"CA"
13;"smntyg";"RT @DZMMTeleRadyo: Pasok sa gov't offices sa MANDALUYONG CITY, suspendido na rin ngayong Lunes, Dec. 8 #RubyPH";"NULL";"NULL";1;0;1;"tl";"CA"
14;"rsmaxcs";"RT @DZMMTeleRadyo: Pasok sa gov't offices sa MANDALUYONG CITY, suspendido na rin ngayong Lunes, Dec. 8 #RubyPH";"NULL";"NULL";1;0;1;"tl";"CA"
15;"5tarburst";"RT @machinators: Ugh #RubyPH. Malakas na, mabagal pa. Forecasted to hit Manila at 2am tomorrow. Everyone keep safe.";"NULL";"NULL";1;0;1;"tl";"CA"
16;"iamRaymondLacsa";"#RubyPH: MMDA suspends number coding in Metro Manila for Monday, Dec08 — PIA NCR http://t.co/bFeLq9hNhI";"NULL";"NULL";1;1;0;"tl";"CA"
17;"tutssieroll";"RT @DZMMTeleRadyo: Pasok sa gov't offices sa MANDALUYONG CITY, suspendido na rin ngayong Lunes, Dec. 8 #RubyPH";"NULL";"NULL";1;0;1;"tl";"CA"
18;"withelights_on";"RT @gmanews: VIDEO: Bagyong #RubyPH, nanalasa sa Borongan, Eastern Samar http://t.co/fRtGoDgo5a http://t.co/sWPVeNK3pv";"NULL";"NULL";1;1;1;"tl";"CA"
19;"imjndlmarie";"RT @GovRamil: Nakataas na po ang signal #2 sa ating lalawigan. Patuloy po tayong magdasal, mag-ingat at laging handa. #RubyPH #Prayers #Kee…";"NULL";"NULL";1;0;1;"tl";"CA"
20;"diana_p_romero";"walang pasok bukas all levels sa metro manila #RubyPH JuanKarlos MYX Video Premiere";"NULL";"NULL";1;0;0;"tl";"CA"
21;"yssa_assy";"RT @TagaLPU: PAGASA: Expect heavy to intense rains in Metro Manila. #RubyPH";"NULL";"NULL";1;0;1;"tl";"CA"
22;"TophSamson";"""@gmanews: ADAMSON: Suspendido ang klase maging ang opisina bukas, Dec. 8, dahil sa Bagyong #RubyPH. #WalangPasok via @AdamsonUni"" Orayk!";14.748947;121.039212;1;0;0;"tl";"CA"
23;"AsncnCarlalala";"RT @gmanews: Quezon City — #WalangPasok sa lahat ng antas bukas (Dec. 8) dahil sa bagyong #RubyPH . | via @Rodveg72 @dzbb";"NULL";"NULL";1;0;1;"tl";"CA"
24;"myeolchidochi";"RT @gmanews: Quezon City — #WalangPasok sa lahat ng antas bukas (Dec. 8) dahil sa bagyong #RubyPH . | via @Rodveg72 @dzbb";"NULL";"NULL";1;0;1;"tl";"CA"
25;"beorvb";"Signal#2 na pala Laguna. Sana may abutan pa tayong pasko feels, electricity, classrooms & maayos na campus pagbalik ng LB. #UPLB #RubyPH";"NULL";"NULL";1;0;0;"tl";"CA"
26;"ameytology";"RT @DZMMTeleRadyo: #walangpasok | Klase sa lahat ng antas sa Mandaluyong City, suspendido bukas (Dec. 8) dahil kay #RubyPH - Mayor Abalos";"NULL";"NULL";1;0;1;"tl";"CA"
27;"BravoSSCR";"RT @DZMMTeleRadyo: #walangpasok | Klase sa lahat ng antas sa Las Piñas City, suspendido bukas (Dec. 8) dahil kay #RubyPH - Mayor Nene Aguil…";"NULL";"NULL";1;0;1;"tl";"CA"
28;"BravoSSCR";"RT @DZMMTeleRadyo: #walangpasok | Klase sa lahat ng antas sa Makati, suspendido bukas (Dec. 8) dahil kay #RubyPH - Makati Spokesman Joey Sa…";"NULL";"NULL";1;0;1;"tl";"CA"
29;"BravoSSCR";"RT @DZMMTeleRadyo: #walangpasok | Klase sa lahat ng antas sa Marikina City, suspendido bukas (Dec. 8) dahil kay #RubyPH | via @MarikinaPIO";"NULL";"NULL";1;0;1;"tl";"CA"
30;"mxxella";"RT @govph: Gabay sa color-coded rainfall advisories (yellow, orange, red) ng PAGASA: http://t.co/aHxQ5oOrKc #RubyPH http://t.co/6X6bELAeH3";"NULL";"NULL";1;1;1;"tl";"CA"
31;"iamJasLouise";"RT @gmanews: LAS PIÑAS — Suspendido ang klase sa lahat ng antas bukas dahil sa bagyong #RubyPH | via @dzbbsamnielsen @dzbb";"NULL";"NULL";1;0;1;"tl";"CA"
