"TweetID";"User";"Tweet";"Latitude";"Longitude";"IsHashtag";"IsURL";"IsRetweet";"Language";"Category"
1;"marrialigaya";"""@ANCALERTS: NDRRMC: 3 dead due to #RubyPH"" tsk";14.752156;121.079288;1;0;0;"tl";"CD"
2;"IGMOlayvar";"""@DZMMTeleRadyo: Bubong at kisame ng Tacloban Airport, sinira ni #RubyPH http://t.co/FZHADakW9X http://t.co/0u0ziXbw9e"" grabe";"NULL";"NULL";1;1;0;"tl";"CD"
3;"blujay_chabby";"""@gmanews: #RubyPH update mula sa press briefing ng DILG: Walang naitalang casualty sa Leyte."" Good to hear. Sana sa ibang lugar din :)";"NULL";"NULL";1;0;0;"tl";"CD"
4;"MerryEdear";"""@gmanews: #RubyPH update mula sa press briefing ng DILG: Walang naitalang casualty sa Leyte."" Thank you Lord! :)";"NULL";"NULL";1;0;0;"tl";"CD"
5;"MarkGascon1";"""@gmanews: Bagsak na ang linya ng komunikasyon sa mga bayan sa Northeastern Samar. #RubyPH | via @PeeweeHero @dzbb""";10.717486;125.794168;1;0;0;"tl";"CD"
6;"meecatok";"""@gmanews: Bagsak na ang linya ng komunikasyon sa mga bayan sa Northeastern Samar. #RubyPH | via @PeeweeHero @dzbb""";"NULL";"NULL";1;0;0;"tl";"CD"
7;"IamTheLawler";"""@gmanews: Bagsak na ang linya ng komunikasyon sa mga bayan sa Northeastern Samar. #RubyPH | via @PeeweeHero @dzbb"" keep safe everyone";14.815947;121.071702;1;0;0;"tl";"CD"
8;"ariescaringal";"RT @gmanews: ROMBLON — As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent";"NULL";"NULL";1;0;1;"tl";"CD"
9;"JholimaGlory";"RT @gmanews: ROMBLON — As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent";"NULL";"NULL";1;0;1;"tl";"CD"
10;"chingbee1";"RT @gmanews: ROMBLON — As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent";"NULL";"NULL";1;0;1;"tl";"CD"
11;"christheene18";"RT @gmanews: ROMBLON — As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent";"NULL";"NULL";1;0;1;"tl";"CD"
12;"KeniticChoy";"RT @gmanews: ROMBLON — As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent";"NULL";"NULL";1;0;1;"tl";"CD"
13;"khimfampo_23";"RT @gmanews: ROMBLON — As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent";"NULL";"NULL";1;0;1;"tl";"CD"
14;"CyeFruelda";"RT @gmanews: ROMBLON — As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent";"NULL";"NULL";1;0;1;"tl";"CD"
15;"MartinXmarin";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malakas na ulan at hangin sa Sorsogon http://t.co/EVRQ1xVvr6 http://t.co/BAJbJAO29Z";"NULL";"NULL";1;1;1;"tl";"CD"
16;"iTsmeJamesNero";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malakas na ulan at hangin sa Sorsogon http://t.co/EVRQ1xVvr6 http://t.co/BAJbJAO29Z";"NULL";"NULL";1;1;1;"tl";"CD"
17;"Iampicardal";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malakas na ulan at hangin sa Sorsogon http://t.co/EVRQ1xVvr6 http://t.co/BAJbJAO29Z";"NULL";"NULL";1;1;1;"tl";"CD"
18;"nnnikkka";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malakas na ulan at hangin sa Sorsogon http://t.co/EVRQ1xVvr6 http://t.co/BAJbJAO29Z";"NULL";"NULL";1;1;1;"tl";"CD"
19;"mikan4ever";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malakas na ulan at hangin sa Sorsogon http://t.co/EVRQ1xVvr6 http://t.co/BAJbJAO29Z";"NULL";"NULL";1;1;1;"tl";"CD"
20;"stewartricero";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malakas na ulan at hangin sa Sorsogon http://t.co/EVRQ1xVvr6 http://t.co/BAJbJAO29Z";"NULL";"NULL";1;1;1;"tl";"CD"
21;"KeniticChoy";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malakas na ulan at hangin sa Sorsogon http://t.co/EVRQ1xVvr6 http://t.co/BAJbJAO29Z";"NULL";"NULL";1;1;1;"tl";"CD"
22;"lovi_143";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malakas na ulan at hangin sa Sorsogon http://t.co/EVRQ1xVvr6 http://t.co/BAJbJAO29Z";"NULL";"NULL";1;1;1;"tl";"CD"
23;"JessaJofficial";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malakas na ulan at hangin sa Sorsogon http://t.co/EVRQ1xVvr6 http://t.co/BAJbJAO29Z";"NULL";"NULL";1;1;1;"tl";"CD"
24;"heephrodisiac";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S";"NULL";"NULL";1;1;1;"tl";"CD"
25;"cassiebabyleigh";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S";"NULL";"NULL";1;1;1;"tl";"CD"
26;"PurpleMonik";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S";"NULL";"NULL";1;1;1;"tl";"CD"
27;"KhryssMalen30";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S";"NULL";"NULL";1;1;1;"tl";"CD"
28;"Aeonflus";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S";"NULL";"NULL";1;1;1;"tl";"CD"
29;"RubyPHNews1";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S";"NULL";"NULL";1;1;1;"tl";"CD"
30;"clarissemado";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S";"NULL";"NULL";1;1;1;"tl";"CD"
31;"glennpooot";"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S";"NULL";"NULL";1;1;1;"tl";"CD"
