"TweetID";"User";"Tweet";"Latitude";"Longitude";"IsHashtag";"IsURL";"IsRetweet";"Language";"Category"
1;"francis14410312";"RT @gmanews: ROMBLON — As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent";"NULL";"NULL";1;0;1;"tl";"CH"
2;"jhea273";"RT @gmanews: ROMBLON — As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent http://t.co/n008KimIm9";"NULL";"NULL";1;1;1;"tl";"CH"
3;"BYE_ayihh";"RT @gmanews: ROMBLON — As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent http://t.co/n008KimIm9";"NULL";"NULL";1;1;1;"tl";"CH"
4;"rubyresponse";"RT @gmanews: ROMBLON — As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent http://t.co/n008KimIm9";"NULL";"NULL";1;1;1;"tl";"CH"
5;"ericka_shi";"RT @gmanews: ROMBLON — As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent http://t.co/n008KimIm9";"NULL";"NULL";1;1;1;"tl";"CH"
6;"KeniticChoy";"RT @gmanews: ROMBLON — As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent http://t.co/n008KimIm9";"NULL";"NULL";1;1;1;"tl";"CH"
7;"itsmelianne28";"RT @gmanews: ROMBLON — As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent http://t.co/n008KimIm9";"NULL";"NULL";1;1;1;"tl";"CH"
8;"gutierrez_allen";"RT @gmanews: ROMBLON — As of 8:30am, wala ng kuryente sa buong Tablas Island. | #RubyPH via @akosiJaysent http://t.co/n008KimIm9";"NULL";"NULL";1;1;1;"tl";"CH"
9;"RubyPHNews1";"RT @gmanews: SORSOGON — Lubog sa baha ang highway sa bayan ng Rizal. | #RubyPH via @allangatus @dzbb";"NULL";"NULL";1;0;1;"tl";"CH"
10;"DILGkyusi";"RT @gmanews: SORSOGON — Lubog sa baha ang highway sa bayan ng Rizal. | #RubyPH via @allangatus @dzbb";"NULL";"NULL";1;0;1;"tl";"CH"
11;"janesyther20";"RT @gmanews: SORSOGON — Lubog sa baha ang highway sa bayan ng Rizal. | #RubyPH via @allangatus @dzbb";"NULL";"NULL";1;0;1;"tl";"CH"
12;"MyShe29";"RT @gmanews: SORSOGON — Lubog sa baha ang highway sa bayan ng Rizal. | #RubyPH via @allangatus @dzbb";"NULL";"NULL";1;0;1;"tl";"CH"
13;"JNaagxx";"RT @gmanews: SORSOGON — Lubog sa baha ang highway sa bayan ng Rizal. | #RubyPH via @allangatus @dzbb";"NULL";"NULL";1;0;1;"tl";"CH"
14;"MIKETONGCO";"RT @gmanews: SORSOGON — Lubog sa baha ang highway sa bayan ng Rizal. | #RubyPH via @allangatus @dzbb";"NULL";"NULL";1;0;1;"tl";"CH"
15;"KeniticChoy";"RT @gmanews: SORSOGON — Lubog sa baha ang highway sa bayan ng Rizal. | #RubyPH via @allangatus @dzbb";"NULL";"NULL";1;0;1;"tl";"CH"
16;"iKkOtEddY";"RT @gmanews: Wala nang kuryente sa Gumaca, Quezon | #RubyPH via @_iancruz";"NULL";"NULL";1;0;1;"tl";"CH"
17;"KisstellThezone";"RT @gmanews: Wala nang kuryente sa Gumaca, Quezon | #RubyPH via @_iancruz";"NULL";"NULL";1;0;1;"tl";"CH"
18;"leahnavarro";"RT @gmanews: Wala nang kuryente sa Gumaca, Quezon | #RubyPH via @_iancruz";"NULL";"NULL";1;0;1;"tl";"CH"
19;"RubyPHNews1";"RT @gmanews: Wala nang kuryente sa Gumaca, Quezon | #RubyPH via @_iancruz";"NULL";"NULL";1;0;1;"tl";"CH"
20;"_dyudie";"RT @gmanews: Wala nang kuryente sa Gumaca, Quezon | #RubyPH via @_iancruz";"NULL";"NULL";1;0;1;"tl";"CH"
21;"itsYnaa";"RT @gmanews: Wala nang kuryente sa Gumaca, Quezon | #RubyPH via @_iancruz";"NULL";"NULL";1;0;1;"tl";"CH"
22;"daniellecarly14";"RT @gmanews: Wala nang kuryente sa Gumaca, Quezon | #RubyPH via @_iancruz";"NULL";"NULL";1;0;1;"tl";"CH"
23;"UdchenC";"RT @gmanews: Wala nang kuryente sa Gumaca, Quezon | #RubyPH via @_iancruz";"NULL";"NULL";1;0;1;"tl";"CH"
24;"KeniticChoy";"RT @gmanews: Wala nang kuryente sa Gumaca, Quezon | #RubyPH via @_iancruz";"NULL";"NULL";1;0;1;"tl";"CH"
25;"krischuper";"RT @gmanews: Wala nang kuryente sa Gumaca, Quezon | #RubyPH via @_iancruz";"NULL";"NULL";1;0;1;"tl";"CH"
26;"tonettedevera";"RT @gmanews: Wala nang kuryente sa Gumaca, Quezon | #RubyPH via @_iancruz";"NULL";"NULL";1;0;1;"tl";"CH"
27;"xshxnxx";"RT @gmanews: Wala nang kuryente sa Gumaca, Quezon | #RubyPH via @_iancruz";"NULL";"NULL";1;0;1;"tl";"CH"
28;"ukgdos";"Preemptive evacuation, sinimulan na sa mga nakatira sa tent city sa Tacloban bilang paghahanda sa bagyong #RubyPH";"NULL";"NULL";1;0;0;"tl";"CH"
29;"zhandercayabyab";"Mga simbahan at kapilya sa Tacloban, ipinagagamit bilang evacuation center @DZMMTeleRadyo #RubyPH http://t.co/UKYsThkm2t";"NULL";"NULL";1;0;0;"tl";"CH"
30;"earl_ezpeleta";"Sana naman ipriority talaga ng local government lalo na sa Visayas yung pagtulong sa mga maaapektuhan ng Bagyo. #RubyPH";"NULL";"NULL";1;0;0;"tl";"CH"
