"TweetID";"User";"Tweet";"Latitude";"Longitude";"IsHashtag";"IsURL";"IsRetweet";"Language";"Category"
1;"RubyPHNews1";"RT @gmanews: RIZAL — Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcK…";"NULL";"NULL";1;0;1;"tl";"D"
2;"UdchenC";"RT @gmanews: RIZAL — Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcK…";"NULL";"NULL";1;0;1;"tl";"D"
3;"deniseclarity";"RT @gmanews: RIZAL — Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcK…";"NULL";"NULL";1;0;1;"tl";"D"
4;"MicaaaELLAf";"RT @gmanews: RIZAL — Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcK…";"NULL";"NULL";1;0;1;"tl";"D"
5;"KeniticChoy";"RT @gmanews: RIZAL — Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcK…";"NULL";"NULL";1;0;1;"tl";"D"
6;"my_aya08";"RT @gmanews: RIZAL — Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcK…";"NULL";"NULL";1;0;1;"tl";"D"
7;"mariajessapadua";"RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.co…";"NULL";"NULL";1;0;1;"tl";"D"
8;"itsbeckxoxo";"RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.co…";"NULL";"NULL";1;0;1;"tl";"D"
9;"AparriPolSta";"RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.co…";"NULL";"NULL";1;0;1;"tl";"D"
10;"PTVph";"RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.co…";"NULL";"NULL";1;0;1;"tl";"D"
