"TweetID","User","Tweet","Latitude","Longitude","IsHashtag","IsURL","IsRetweet","Language","Category","W_#aksyonsahagupit","W_#rubyph","W_@_iancruz","W_@akosijaysent","W_@dzbb","W_@dzmmteleradyo","W_@gmanews","W_agutaya","W_all","W_ang","W_antas","W_at","W_bagyong","W_bilang","W_bukas","W_buong","W_catbalogan","W_city","W_cuyo","W_dahil","W_dec","W_dolores","W_eastern","W_evacuation","W_for","W_goods","W_gumaca","W_hangin","W_in","W_ipinagagamit","W_kuryente","W_laguna","W_lahat","W_magsaysay","W_manila","W_metro","W_muling","W_na","W_nang","W_ng","W_ni","W_of","W_palawan","W_pampanga","W_personnel","W_preso","W_ps36","W_quezon","W_rizal","W_romblon","W_rt","W_sa","W_samar","W_san","W_signal","W_tacloban","W_towns","W_transported","W_ulat","W_via","W_video","W_wala","N_#r","N_,_","N_._","N_/t","N_:/","N_:_","N_@d","N__#","N__@","N__a","N__b","N__h","N__k","N__m","N__n","N__s","N__v","N_a_","N_ac","N_ag","N_ah","N_al","N_an","N_as","N_at","N_ay","N_ba","N_bu","N_by","N_co","N_el","N_er","N_g_","N_ga","N_h_","N_ha","N_ia","N_il","N_in","N_la","N_li","N_ma","N_na","N_ng","N_on","N_ph","N_ro","N_ru","N_sa","N_t_","N_ta","N_te","N_to","N_tp","N_tt","N_ub","N_vi","N_yp","Length"
"1","candleJOAQS","RT @IMReadyPH: Sa latest forecast track ng @dost_pagasa, bukas ng umaga ito papasok ng PAR. Papangalanan itong #RubyPH. http://t.co/104989O‚?¶",,,"1","0","1","tl","CA","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","0","0","1","1","1","0","2","1","1","3","0","0","0","1","2","3","2","1","2","1","0","0","0","2","0","1","1","1","1","4","3","1","1","1","0","1","0","1","0","0","1","1","1","1","0","1","1","4","0","0","5","1","0","2","2","23"
"2","Marvinvilla1970","RT @nababaha: #RubyPH advisory in #Hiligaynon Maghanda na kita! Ginabantayan ang umaabot nga pagsulod sa Philippine Area of... http://t.c‚?¶",,,"1","1","1","tl","CA","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","1","0","2","0","2","1","3","2","0","0","4","0","1","0","1","0","2","1","0","0","1","2","0","1","2","2","1","1","0","1","1","2","0","1","1","3","2","1","0","2","1","1","0","0","3","1","1","1","0","0","2","2","1","3","1","1","22"
"3","MarielleAbby","Magdasal at mag-ingat. #RubyPH","12.070436","124.591466","1","0","0","tl","CA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","1","0","1","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","2","0","0","0","1","1","0","0","1","1","0","0","1","5"
"4","chrlnhnrb","@MarielleAbby: Magdasal at mag-ingat. #RubyPH",,,"1","0","0","tl","CA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","1","0","1","2","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","1","0","1","0","1","1","0","0","0","2","0","0","2","0","0","0","1","1","0","0","1","1","0","0","1","7"
"5","orlino_peter","RT @bamaquino: [TeamBam] Maging handa po tayo sa posibleng pananalasa ni bagyong Hagupit. Pls. retweet. #HagupitPH #RubyPH #FloodPH http://‚?¶",,,"1","0","1","tl","CA","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","1","0","0","0","3","0","2","4","0","1","3","0","0","0","1","1","1","3","1","0","2","0","0","3","3","3","1","1","0","1","3","0","1","1","1","0","1","0","0","1","1","3","0","0","2","0","1","1","1","0","1","3","1","3","1","2","25"
"6","kayAMELIAito","RT @bamaquino: [TeamBam] Maging handa po tayo sa posibleng pananalasa ni bagyong Hagupit. Pls. retweet. #HagupitPH #RubyPH #FloodPH http://‚?¶",,,"1","0","1","tl","CA","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","1","0","0","0","3","0","2","4","0","1","3","0","0","0","1","1","1","3","1","0","2","0","0","3","3","3","1","1","0","1","3","0","1","1","1","0","1","0","0","1","1","3","0","0","2","0","1","1","1","0","1","3","1","3","1","2","25"
"7","KiligLoveQuotes","#PrayForPhilippines #RubyPH Ito yung mga lugar kung saan mag ta-tama ang Bagyong Ruby http://t.co/ASYJendcVi",,,"1","0","0","tl","CA","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","0","1","1","1","2","0","0","2","0","0","0","1","0","0","0","0","1","1","1","0","1","2","0","1","2","0","2","5","2","1","0","1","1","0","1","1","2","2","1","0","0","0","1","1","1","1","0","1","4","2","1","0","1","14"
"8","kharaination","My beloved hometown hernani E.Samar nilindol..#RubyPH #keepsafe",,,"1","0","0","tl","CA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","1","0","0","0","1","1","0","1","0","0","1","0","0","1","0","1","0","1","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","2","0","0","1","0","0","1","0","0","0","0","1","0","0","2","11"
"9","EdisonLeeCurtis","RT @nababaha: Latest PAGASA Forecast Track for #RubyPH As of December 3, 2014 05:00PM Bukas ng umaga inaasahang papasok na sa... http://t.‚?¶",,,"1","1","1","tl","CA","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","0","0","0","1","1","1","2","1","0","1","1","2","0","1","1","2","1","1","0","1","0","0","1","1","2","1","1","1","1","2","2","1","1","0","1","3","0","0","0","0","1","1","1","3","0","1","1","6","0","0","2","1","2","1","3","26"
"10","nababaha","Latest PAGASA Forecast Track for #RubyPH As of December 3, 2014 11:00PM Bagamat bahagyang bumagal, bukas pa rin... http://t.co/rPDep7PWVN",,,"1","1","0","tl","CA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","1","1","1","4","1","1","1","1","1","0","0","1","0","1","1","0","1","0","0","1","1","1","1","1","2","1","1","3","4","0","0","1","3","0","1","0","0","1","2","2","0","0","1","1","4","0","0","1","1","2","0","1","23"
"11","veralynneeee","RT @nababaha: Latest PAGASA Forecast Track for #RubyPH As of December 3, 2014 11:00PM Bagamat bahagyang bumagal, bukas pa rin... http://t.‚?¶",,,"1","1","1","tl","CA","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","1","1","1","4","1","1","1","1","2","0","0","1","0","1","1","0","1","0","0","1","1","2","1","1","2","1","1","3","4","1","0","1","4","0","0","0","0","1","2","2","1","0","1","1","4","0","0","1","1","4","1","1","26"
