TweetID,User,Tweet,Latitude,Longitude,IsHashtag,IsURL,IsRetweet,Language,Category
5.13E+17,emmidejesus,"Donate & Volunteer, click link for details  https://t.co/aTZ01tnOUn Lingap Gabriela for #ReliefPH drive for #MarioPH flood victims in Manila",NULL,NULL,1,1,0,en,D
5.13E+17,USTRCYCENG,"RT @varsitarianust: Evacuees at Sto. Domingo Church in QC have reached 2.5k. @UST_CSC calling for volunteers tomorrow, 6am call time. #ReliŠ—_",NULL,NULL,1,0,1,en,D
5.13E+17,CitizenPatrol,"Aabot sa 2,000 Evacuees sa Sto. Domingo Church nangangailangan ng tubig.  #MarioPH #ReliefPH",NULL,NULL,1,0,0,tl,D
5.13E+17,yelpalisoc,"@philredcross #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryente at pagkain.",NULL,NULL,1,0,0,tl,D
5.13E+17,AngerikBabies41,Camacho Street Kabayani Road Nangka Marikina needs food and water. Pls. help  #ReliefPH #RescuePH #FloodPH #MarioPH @TVPatrol @ABSCBNNews,NULL,NULL,1,0,0,tl,D
5.13E+17,IvanGeroDomingo,"Paki rescue po Luloy Cerbito Macopa St, Banawe QC. Yung may maliit na basketball court dun. #RescuePH",NULL,NULL,1,0,0,tl,D
5.13E+17,CitizenPatrol,Isang Ginang natrapped sa bubong sa Blk.44 mais street bgy.tumana.  #MarioPH #RescuePH,NULL,NULL,1,0,0,tl,D
5.13E+17,CitizenPatrol,"Aabot sa 2,000 Evacuees sa Sto. Domingo Church nangangailangan ng tubig.  #MarioPH #ReliefPH",NULL,NULL,1,0,0,tl,D
5.13E+17,Iam_rjb05,Wala kuryeryente saamin (-_-) #NoPower â€” at Mambalon Mahabang Parang Binangonan Rizal http://t.co/DUHTtrneH0,NULL,NULL,1,1,0,tl,D
5.13E+17,CitizenPatrol,"Sa Quezon City ,Ilang pamilya, lumikas na sa Holy Family Church sa Roxas District at  walang pa ring kuryente ngayon. #MarioPH #FloodPH",NULL,NULL,1,0,0,tl,D
5.13E+17,garcia_brielle,RT @ReliefPHcom: Nangka Marikina: call for food and water #urgentcalls #MarioPHÂ #reliefPH http://t.co/wFOMtdRSqL,NULL,NULL,1,1,1,tl,D
5.13E+17,yelpalisoc,"@TheMayorLIM Sir pahelp po magRT #ReliefPH sa Leodegracio Victorino Elem. School po may mga evacuees po, wala daw pong kuryente at pagkain.",NULL,NULL,1,0,0,tl,D
