1,My house was blown away by a tornado but a famous person just 'd something about my town. Who needs a house?,casualities and damage,"house
house


n/a
n/a
n/a
house"
2, @andersoncooper: I took this earlier. Cross still stands above destroyed church #Joplin http://yfrog.com/h2d7rgrj,casualities and damage,"Church

church
n/a
n/a
n/a
church"
3,Tornado is gone and woman is assessing the damage to her house and still can barely stand because of the wind.,casualities and damage,"house
n/a
house"
4, @WISCTV_News3: Weather Service Confirms to News 3 an EF1 Tornado did damage in Verona. We'll have more details online shortly.,casualities and damage,"
n/a

"
5,After hearing the tornado sirens Pastor Daniel just told all the staff to go hide downstairs... before leaving in his tiny red car...,casualities and damage,"

n/a
n/a
n/a

n/a
"
6,Driving.. it appears my area got hit the worst. Tornado in my backyard.. Next street over shut down w/ fire trucks and caution tape..,casualities and damage,"
n/a
n/a
n/a
n/a

"
7, @velvetrasputin: The tornado damage in N. Minneapolis.   http://youtu.be/icvSJUWHHi0 -- damn... just glad my friends are all safe,casualities and damage,"n/a

"
8,We just passed some major tornado damage in Birmingham AL,casualities and damage,"
n/a
"
9, @stefkienstra: JOPLIN -- Gov. Jay Nixon announces zero people missing 134 reported deceased. #JoplinTornado,casualities and damage,"

n/a

n/a
"
10, @BreakingNews: Watch live: Memorial service for tornado victims in Joplin Mo. http://on.msnbc.com/kpdG7A,casualities and damage,"
n/a
"
11," @EKaiserReuters: ""Joplin looked like some of the battles I saw in Korea"" Korean war veteran and Missouri #tornado survivor says: htt ...",casualities and damage,"
n/a
"
12,@RealWizKhalifa tornado just hit my town and the sky is #Black&Yellow so now have the song stuck in my head,casualities and damage,"
n/a

"
13,Full list of missing persons in #Joplin that was released this morning... http://bit.ly/mwwNIs,casualities and damage,"
n/a

"
14,RIP to the people that died in  the springfeild tornado &lt;3333Ã¢â„¢Â¥Ã¢â„¢Â¥,casualities and damage,"
n/a
n/a
"
15,If everything is where you left it earlier...you're blessed #prayforjoplin #joplin,casualities and damage,"
n/a

"
16, @andersoncooper: I took this earlier. Cross still stands above destroyed church #Joplin http://yfrog.com/h2d7rgrj,casualities and damage,"church
n/a
n/a"
17, @andersoncooper: I took this earlier. Cross still stands above destroyed church #Joplin http://yfrog.com/h2d7rgrj,casualities and damage,"church
n/a
church"
18,Client responded to a billing statement saying their bldg had been destroyed in a tornado and they lost a few invoices. Wow awful!,casualities and damage,"
building
n/a
n/a
bldg
"
19, @Bill_Gross: Amazing - and stunningly sad - pictures of before and after the #Tornado swept through #Joplin: http://j.mp/lfa80S from  ...,casualities and damage,"
n/a
"
