1,Yesterday was supposed to be 70 and sunny/cold and rain. Today was supposed to be 90 and sunny guess what? Tornado warning #FUCKTOLEDOOHIO,caution and advice,"Tornado warning
Tornado warning
Tornado warning"
2, @Juss2Live: News was goin crazy about tornado  warnings n it didn even rain ! -__- - shit was wild over in CT . 4 ppl died,caution and advice,"tornado warnings
tornado warnings
tornado warnings"
3, @spann: Everybody on the campus of the University of Oklahoma should be in a tornado safe place now. #okwx,caution and advice,"should be in a tornado safe place
should be in a tornado safe plac
tornado safe place"
4,Almyra Arkansas tornado about to hit the ground,caution and advice,"tornado
tornado about to hit the ground
tornado about to hit the ground"
5,I hear the tornado sires going off now.  Buildings in downtown Kansas City being evacuated now! Tornado Warning.,caution and advice,"tornado sires
Tornado Warning
Tornado Warning
Tornado Warning"
6,Tornado watch canceled for Douglas County Coles County & Moultrie County,caution and advice,"Tornado watch
Tornado watch canceled
Tornado watch
Tornado watch canceled"
7,In the U.S. they have tornado watch.. In Saint John we have severe thunderstorm watch.. #Seriously? What's the point of thunderstorm watch?,caution and advice,"thunderstorm watch
tornado watch
tornado watch
tornado watch"
8,At mssu for memorial service. #Joplin #superwindy,caution and advice,for memorial service
9,Thank god possible tornado moved away from this area. Praying this tornado doesn't really cause destruction!,caution and advice,"tornado moved away
tornado moved
tornado moved away
possible tornado moved away"
10,Tornado headed toward us.... we're closing down for a while ...,caution and advice,"Tornado headed
Tornado
Tornado
Tornado"
11,It's A Tornado Out Here Lol Trees Falling Down And Shxt!!! I Gotta Get Out The Country...This Typa Shxt Don't Happen In New York Lol,caution and advice,"Tornado
Tornado
It's A Tornado Out Here"
12,Tornado watch and already thunder lightening and a splitting headache. What fun lies ahead (upstate NY)? #tornado,caution and advice,"Tornado watch
Tornado watch
Tornado watch"
13, @rachelcaine: Tornado on the ground less than 5 miles away guys. On the ground in Bedford. SEEK SHELTER IMMEDIATELY.,caution and advice,"Tornado on the ground
SEEK SHELTER IMMEDIATELY
Tornado on the ground"
14,Wow. Tornado reported over in Bellingham and Milford (two towns I drive through to go home from work) thankfully it didn't touchdown.,caution and advice,"Tornado reported
Tornado reported
Tornado"
15, @CajunTechie: #Joplin #Missouri #tornado has been cancelled. More severe weather expected in the area tonight. Potentially severe. St ...,caution and advice,"tornado has been cancelled
tornado has been cancelled
tornado has been cancelled"
16,Possible #tornado on the ground near Ohio City #Ohio. Cell has very strong low level rotation! ** SEEK SHELTER ** #OHWX Follow 4 updates.,caution and advice,"Possible #tornado on the ground
tornado on the ground
tornado on the ground
tornado on the ground SEEK SHELTER"
17,Tornado warning. #FML,caution and advice,"Tornado warning
Tornado warning
Tornado warning"
