1,Yesterday was supposed to be 70 and sunny/cold and rain. Today was supposed to be 90 and sunny guess what? Tornado warning #FUCKTOLEDOOHIO,caution and advice,"OHIO
TOLEDOOHIO
N/A"
2, @Juss2Live: News was goin crazy about tornado  warnings n it didn even rain ! -__- - shit was wild over in CT . 4 ppl died,caution and advice,"CT
N/A
CT"
3, @spann: Everybody on the campus of the University of Oklahoma should be in a tornado safe place now. #okwx,caution and advice,"Oklahoma
campus of the University of Oklahoma
campus of the University of Oklahoma"
4,Almyra Arkansas tornado about to hit the ground,caution and advice,"Almyra Arkansas
Almyra Arkansas
Almyra Arkansas"
5,I hear the tornado sires going off now.  Buildings in downtown Kansas City being evacuated now! Tornado Warning.,caution and advice,"Kansas City
downtown Kansas City
Kansas City
Kansas City"
6,Tornado watch canceled for Douglas County Coles County & Moultrie County,caution and advice,"Douglas County, Coles County, & Moultrie County
Douglas County, Coles County, & Moultrie County
Douglas County, Coles County, & Moultrie County
Douglas County, Coles County, & Moultrie County"
7,In the U.S. they have tornado watch.. In Saint John we have severe thunderstorm watch.. #Seriously? What's the point of thunderstorm watch?,caution and advice,"Saint John
Saint John
U.S.
U.S."
8,At mssu for memorial service. #Joplin #superwindy,caution and advice,Joplin
9,Thank god possible tornado moved away from this area. Praying this tornado doesn't really cause destruction!,caution and advice,"N/A
N/A
N/A
N/A"
10,Tornado headed toward us.... we're closing down for a while ...,caution and advice,"n/a
n/a
N/a
N/A"
11,It's A Tornado Out Here Lol Trees Falling Down And Shxt!!! I Gotta Get Out The Country...This Typa Shxt Don't Happen In New York Lol,caution and advice,"N/A
N/A
N/A"
12,Tornado watch and already thunder lightening and a splitting headache. What fun lies ahead (upstate NY)? #tornado,caution and advice,"upstate NY
upstate NY
upstate NY"
13, @rachelcaine: Tornado on the ground less than 5 miles away guys. On the ground in Bedford. SEEK SHELTER IMMEDIATELY.,caution and advice,"less than 5 miles away in Bedford
Bedford
Bedford"
14,Wow. Tornado reported over in Bellingham and Milford (two towns I drive through to go home from work) thankfully it didn't touchdown.,caution and advice,"Bellingham and Milford
Bellingham and Milford
Bellingham and Milford"
15, @CajunTechie: #Joplin #Missouri #tornado has been cancelled. More severe weather expected in the area tonight. Potentially severe. St ...,caution and advice,"#Joplin #Missouri
Joplin
Joplin #Missouri"
16,Possible #tornado on the ground near Ohio City #Ohio. Cell has very strong low level rotation! ** SEEK SHELTER ** #OHWX Follow 4 updates.,caution and advice,"Ohio City, #Ohio
Ohio City, #Ohio
Ohio City
near Ohio City"
17,Tornado warning. #FML,caution and advice,"N/A
n/a
FML"
18,@BeccasOnTweeter Girl you are tornado watching too much! If you need to get to safety OK!!,caution and advice,"N/A
N/A
N/A
N/A
N/A"
19,bitch it's a tornado.. ain't shit to be scared of! you betta get your bitch ass in the position they taught you in elementary!,caution and advice,"N/A
N/A
N/A"
20,Tornado forming over river awesome.  http://bit.ly/kUDYU2,caution and advice,"N/A
N/A
N/A"
21,I'm pretty sure that's the tornado siren.,caution and advice,"N/A
N/A
n/a"
22," @andybaldwin: Confirmed tornado on the ground in Dallas near Love Field. ""Softball-sized hail."" via @baxterholmes",caution and advice,"Dallas near Love Field
Dallas near Love Field
in Dallas near Love Field
Dallas near Love Field"
23,That Tornado Warning Shit just came on my Tv..,caution and advice,"N/A
N/A
N/A"
24,@Lil_Wyte_ Man I swear #MotherNature has been pissed of in 2011. We got tornado warnings all over the Mtown&lt;&lt;she needs to get laid. haha,caution and advice,"Mtown
all over the Mtown
Mtown
Mtown
Mtown
Mtown
Mtown
Mtown
Mtown
Mtown
Mtown
n/a
Mtown
Mtown
Mtown
Mtown"
25,Murfreesboro PD confirming a tornado touchdown in Rutherford county. The storm is really cranking up here in the Lascassas Pike area....,caution and advice,"Rutherford county
Rutherford county
Rutherford county
Rutherford
Rutherford county
Rutherford county
Rutherford county, Lascassas Pike area
Rutherford county
Rutherford county
Lascassas Pike area
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford County
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Lascassas Pike area
Rutherford county
Rutherford county
Rutherford county
Murfreesboro
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Lascassas Pike area
Rutherford county
Rutherford county Murfreesboro Lascassas Pike
in Rutherford county and Lascassas Pike area
Rutherford county
Rutherford county
Lascassas Pike
Rutherford
Rutherford county
Rutherford county
Lascassas Pike area
Rutherford county
Rutherford county
Rutherford county
tornado touchdown
Rutherford county Lascassas Pike area
Rutherford county
in Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county"
26,Tornado alarms blasting in the city and all I'm thinking is Yippeee! I still have internet connection,caution and advice,"in the city
the city
N/A
N/A"
27,Take cover Dallas!  @JimCantore DAMAGE IN DALLAS COUNTY NEAR EAGLE FORD TX REPOS OF LARGE #TORNADO ON GROUND #txwx,caution and advice,"DALLAS COUNTY NEAR EAGLE FORD, TX
EAGLE FORD, TX
DALLAS COUNTY
DALLAS COUNTY NEAR EAGLE FORD, TX
Dallas, EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
EAGLE FORD, TX
Dallas
Dallas County
Eagle Ford, TX
DALLAS COUNTY NEAR EAGLE FORD
NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
Dallas
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD
Dallas County TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
Dallas
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD
DALLAS COUNTY NEAR EAGLE FORD, TX
EAGLE FORD
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
Dallas, EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
N DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
Dallas COUNTY
DALLAS COUNTY NEAR EAGLE FORD
DALLAS COUNTY
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY
Dallas
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX REPOS OF LARGE
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD
Dallas county near eagle ford, tx
Dallas
DALLAS COUNTY NEAR EAGLE FORD, TX
EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
Dallas
DALLAS COUNTY
DALLAS COUNTY NEAR EAGLE FORD, TX"
