'1',Yesterday was supposed to be 70 and sunny/cold and rain. Today was supposed to be 90 and sunny guess what? Tornado warning #FUCKTOLEDOOHIO,A tornado/thunderstorm warning has been issued or has been lifted
'2', @Juss2Live: News was goin crazy about tornado  warnings n it didn even rain ! -__- - shit was wild over in CT . 4 ppl died,A tornado/thunderstorm warning has been issued or has been lifted
'3', @spann: Everybody on the campus of the University of Oklahoma should be in a tornado safe place now. #okwx,A shelter is open or available
'4',Almyra Arkansas tornado about to hit the ground,A tornado sighting/touchdown has been reported
'5',I hear the tornado sires going off now.  Buildings in downtown Kansas City being evacuated now! Tornado Warning.,A tornado/thunderstorm warning has been issued or has been lifted
'6',Tornado watch canceled for Douglas County Coles County & Moultrie County,A tornado/thunderstorm warning has been issued or has been lifted
'7',In the U.S. they have tornado watch.. In Saint John we have severe thunderstorm watch.. #Seriously? What's the point of thunderstorm watch?,A tornado/thunderstorm warning has been issued or has been lifted
'8',At mssu for memorial service. #Joplin #superwindy,Other
'9',Thank god possible tornado moved away from this area. Praying this tornado doesn't really cause destruction!,Other
'10',Tornado headed toward us.... we're closing down for a while ...,A tornado sighting/touchdown has been reported
'11',It's A Tornado Out Here Lol Trees Falling Down And Shxt!!! I Gotta Get Out The Country...This Typa Shxt Don't Happen In New York Lol,A tornado sighting/touchdown has been reported
'12',Tornado watch and already thunder lightening and a splitting headache. What fun lies ahead (upstate NY)? #tornado,Other
'13', @rachelcaine: Tornado on the ground less than 5 miles away guys. On the ground in Bedford. SEEK SHELTER IMMEDIATELY.,A tornado sighting/touchdown has been reported
'14',Wow. Tornado reported over in Bellingham and Milford (two towns I drive through to go home from work) thankfully it didn't touchdown.,A tornado sighting/touchdown has been reported
'15', @CajunTechie: #Joplin #Missouri #tornado has been cancelled. More severe weather expected in the area tonight. Potentially severe. St ...,A tornado/thunderstorm warning has been issued or has been lifted
'16',Possible #tornado on the ground near Ohio City #Ohio. Cell has very strong low level rotation! ** SEEK SHELTER ** #OHWX Follow 4 updates.,A tornado sighting/touchdown has been reported
'17',Tornado warning. #FML,A tornado/thunderstorm warning has been issued or has been lifted
'18',@BeccasOnTweeter Girl you are tornado watching too much! If you need to get to safety OK!!,Other
'19',bitch it's a tornado.. ain't shit to be scared of! you betta get your bitch ass in the position they taught you in elementary!,Other
'20',Tornado forming over river awesome.  http://bit.ly/kUDYU2,A tornado/thunderstorm warning has been issued or has been lifted
'21',I'm pretty sure that's the tornado siren.,A siren has been heard
'22'," @andybaldwin: Confirmed tornado on the ground in Dallas near Love Field. ""Softball-sized hail."" via @baxterholmes",A tornado sighting/touchdown has been reported
'23',That Tornado Warning Shit just came on my Tv..,A tornado/thunderstorm warning has been issued or has been lifted
