'1', @TippingPointSEO: please follow my friends @RebuildJoplinMO They do a great job at providing valuable info for donors and victims of  ...,Invites/asks people to donate/provide/give/do something
'2', @ztdrew78: Heading to #joplin wit the #jimbakkershow to help the #tornado victims... Help us #jesus !,Reports that something has been donated/provided/given/done
'3', @kcredcross: Holding emergency blood drive from 2-7 p.m. at GKC Chapter 211 W. Armour Blvd. KCMO. Join us in helping Joplin. #joplin,Invites/asks people to donate/provide/give/do something
'4', @Kanrocksas: Help #Joplin Mo & Reading Ks  PLS    @kcredcross To support text REDCROSS to 90999 or visit redcross.org,Invites/asks people to donate/provide/give/do something
'5',Last tweet I promise my good friend is funding relief in #joplin MO with her #Scentsy biz. http://j.mp/jc6LdX wanted to help share that .),Reports that something has been donated/provided/given/done
'6', @DaneMiodov helping a family hit by tornado. 5310 S Western come join us/ look for the orange tshirt by the driveway on west side of road,Invites/asks people to donate/provide/give/do something
'7', @BFleschman: @kurt13warner a friend who lost everything in recent tornado in Joplin MO. Please donate to www.joplintornadoreliefforb ...,Invites/asks people to donate/provide/give/do something
'8', @BlaineGabbert: Everyone please take a minute to check out a great project I've started for all the tornado victims. http://tinyurl.c ...,Invites/asks people to donate/provide/give/do something
'9',@asaHQ that's a great initiative to support #Joplin! Hats off to you & @getsomegreek.,Reports that something has been donated/provided/given/done
'10',Please submit your #okhelp and #okneed on our Crowdmap: http://oktornado.crowdmap.com/reports/submit #oktornado #okwx Please ,Invites/asks people to donate/provide/give/do something
'11', @docmisterio: Hey #STL I'm putting together a music sampler for #Joplin called #SongsForJoplin. Want to help promote? Help some othe ...,Invites/asks people to donate/provide/give/do something
'12',Invacare helping disabled tornado survivors http://tf.to/sYf9,Reports that something has been donated/provided/given/done
'13', @RedCross: You can help us respond in #Joplin &continue our work in other states. Txt REDCROSS to 90999 or online: http://bit.ly/eZJDoJ,Invites/asks people to donate/provide/give/do something
'14', @tpmedia: Tornado survivors in Joplin Mo. will be getting quilts from shop in Victor http://t.co/TvLmg4j,Reports that something has been donated/provided/given/done
'15', @rqskye: #MONeeds #Volunteers City DistCtr to form teams we are sending into the area to help people with clean up. Open every day 9a ...,Invites/asks people to donate/provide/give/do something
'16', @RedCross: You can help us respond in #Joplin &continue our work in other states. Txt REDCROSS to 90999 or online: http://bit.ly/eZJDoJ,Invites/asks people to donate/provide/give/do something
'17',@joelieberman #99ers are the same as #tornado victims; the destruction of our lives is just as bad only slower. PLEASE: #JOBS & #HR589,Invites/asks people to donate/provide/give/do something
'18', @RedCross: You can help us respond in #Joplin &continue our work in other states. Txt REDCROSS to 90999 or online: http://bit.ly/eZJDoJ,Invites/asks people to donate/provide/give/do something
'19', @EmWelsh36: Alabama tornado relief in 101* heat. So rewarding. Not your average Saturday. #volunteering #stormtroopers @chrisnunn htt ...,Reports that something has been donated/provided/given/done
'20',You can make a donation via text to the Salvation Army's tornado relief in Massachusetts. A $10 minimum donation... http://fb.me/14rrB2wII,Invites/asks people to donate/provide/give/do something
'21',@MWRteam awesome jobs you guys are doing getting donations for the tornado victims!,Reports that something has been donated/provided/given/done
'22', @tmoneyhoops: TODAY Pizza Hut is donating 15% of sales 2 the United Way Tornado Disaster Fund. Head to 23rd/Blackwelder Pizza Hut today!,Both (invites and reports)
'23', @Shirtisred: If this tweet gets 15 's...I will donate 15 dollars to the Red Cross for the Tornado Victims across the U.S. :D ! xD,Reports that something has been donated/provided/given/done
'24',Prepaid Cell Phones | Salvation Army Serves Thousands In Tornado Ravaged Areas http://bit.ly/mF0JbY,Reports that something has been donated/provided/given/done
'25', @goMarielle: #MOneeds ELECTRIC SKILLETS and CROCK POTS (gas is shut off still) #Joplin,Invites/asks people to donate/provide/give/do something
