'1',@fox12weather re: tornado. I live in Vancouver. That must be why I heard thunder (or a freight train) around that time this afternoon.,None of the above
'2',Incredible video: #Tornado tears through Oklahoma: http://fxn.ws/jqECzA,Look at this video or these videos
'3',Obama visits tornado-ravaged Joplin; renamed hospital reopens: President Barack Obama visited tattered Joplin M... http://bit.ly/iexppM,None of the above
'4', @lindaperrybarr: Hi everyone! Want to share http://bit.ly/l3MxtA @BrianStelter's tumbler on using twitter to cover #Joplin and lesson ...,Look at this web site/page
'5', @txstormchasers: Heading south on the DNT at Eldorado. Going to have to core the huge hail core. LIVE VIDEO - http://tinyurl.com/22sa ...,Look at this video or these videos
'6', @jasonboyett: This footage of the Mass. tornado sucking up water from the Connecticut River is ridiculously terrifying: http://yhoo.i ...,Look at this video or these videos
'7',My cop friend volunteered in #Joplin last wknd; she said people are driving there from Ark. Ill. & Cal. to loot! #despicable,None of the above
'8', @TIME: This dog was sucked up by a tornado but crawled home on two broken legs | http://ti.me/kVEEDu (via @TIMENewsFeed),Look at this web site/page
'9',Back at my desk after the tornado warning. That was fun. #sarcasm #thingsyoudontsayinNYC,None of the above
'10',"I just uploaded ""VIOLENT Dibble/Washington/Goldsby Tornado! May 24 2011"" on Vimeo: http://vimeo.com/24290944",Look at this video or these videos
'11', @CygnetUpdates:  @mediaphish: If you are working in the city of #joplin and need a hot meal the Humphrey's family at 310 N Wall ha ...,None of the above
'12',Watching NBC News coverage from #Joplin. Sad to see the lives torn apart by this disaster. Thoughts continue to be with you. #MIZforJOPLIN,Watch this TV channel (or: I am watching this channel)
'13', @Cassandralea: Before and after photos of #joplin ... WOW http://t.co/wxe7i5B,Look at this photo or these photos
'14',Dayton requests disaster declaration after tornado http://dlvr.it/TGCDN,Look at this web site/page
'15',had to stay in school for an extra hour because of a tornado warning and that was fun,None of the above
'16',Back by the #Joplin hospital now. Even more eerie-looking at night. http://instagr.am/p/EpMkz/,Look at this web site/page
'17', @Daradondo: the tornado  http://twitpic.com/5248yt,Look at this photo or these photos
'18',DivaDOD: My cousin ran outside his tornado shelter in Oklahoma City to take this picture.:    submitted by  Neug... http://bit.ly/j8zwR4,Look at this photo or these photos
'19',@Public_Interest Is it just me or does it appear that there are multiple vortexes in that new Ringgold tornado footage?,None of the above
'20',Massachusetts tornado: What are deadly tornadoes doing way up in ...: At least two tornadoes tore through commun... http://bit.ly/lsaEFa,Look at this web site/page
