_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one,choose_one:confidence,choose_one_gold,city,creationdate,favorite,hashtags,id,latitude,longitude,mediaurl,replyto,replytoscreenname,replytouser,retweet,retweetcount,screenname,source,text,userid
182287853,false,finalized,22,7/18/2012 20:19:24,Other,0.7835,,,Sat May 28 04:47:57 AST 2011,FALSE,Peru,74290781162184704,-1,-1,,-1,null,-1,FALSE,0,mediosperuanos,"&lt;a href=""http://twitterfeed.com"" rel=""nofollow""&gt;twitterfeed&lt;/a&gt;",Terra » Imágenes de Mike Bettes expresan conmoción por tornado en Misurí http://bit.ly/kMPKEL #Peru,84988358
182287854,false,finalized,21,7/18/2012 20:12:01,Informative (Indirect),0.4442,,,Tue May 24 01:16:17 AST 2011,FALSE,samsclub/Joplin,72787965184716800,-1,-1,,-1,null,-1,剔䕕,6,KateJAndersen,"&lt;a href=""http://blackberry.com/twitter"" rel=""nofollow""&gt;Twitter for BlackBerry®&lt;/a&gt;"," @elisemitch:  @samsclubsusan: #samsclub in #Joplin has generators, tarps, fuel cans, ice, charcoal & other supplies. No membership  ...",50426022
182287855,false,finalized,21,7/18/2012 20:28:23,Informative (Indirect),0.7313,,,Sun May 29 22:29:06 AST 2011,FALSE,Tornado/Joplin,74920217951744000,-1,-1,,-1,null,-1,剔䕕,77,JB_Lover866,web, @Bill_Gross: Amazing - and stunningly sad - pictures of before and after the #Tornado swept through #Joplin: http://j.mp/lfa80S from  ...,259468775
182287856,false,finalized,22,7/18/2012 20:21:48,Informative (Indirect),0.4323,,,Mon May 23 23:29:54 AST 2011,FALSE,Joplin/tornado,72761190106935200,-1,-1,,-1,null,-1,剔䕕,3,rqskye,web,""""" @my_tweet: #Joplin #tornado MISSING PERSON: Hannah Hull, 15 years old, Brown wavy hair.information please call Robin at 913-669-4994",104342504
182287861,false,finalized,21,7/18/2012 20:12:01,Informative (Direct),0.4164,,"Swan Creek, OH",Mon May 30 00:01:29 AST 2011,FALSE,FUCKTOLEDOOHIO,74943468706873296,-1,-1,,-1,null,-1,FALSE,0,1stJoshRobinson,web,"Yesterday was supposed to be 70 and sunny/cold and rain. Today was supposed to be 90 and sunny, guess what? Tornado warning #FUCKTOLEDOOHIO",85940638
182287866,false,finalized,21,7/18/2012 20:22:34,Informative (Indirect),0.4964,,,Mon May 30 19:33:26 AST 2011,FALSE,,75238398390054896,-1,-1,,-1,null,-1,剔䕕,1199,deannamitchell_,web," @BarackObama: In Joplin, Missouri, today to visit with those who lost so much in last week's devastating tornado.",269912122
182287868,false,finalized,21,7/18/2012 20:28:23,Personal message,0.6087,,,Mon May 23 23:38:45 AST 2011,FALSE,tornado,72763417693400992,-1,-1,,-1,null,-1,FALSE,0,BeautyItself,"&lt;a href=""http://twitter.com/devices"" rel=""nofollow""&gt;txt&lt;/a&gt;","you'll think after that mini #tornado we just had, people would be in the house. smh",165920464
182287870,false,finalized,21,7/18/2012 20:27:28,Informative (Indirect),0.3972,,,Thu May 26 05:08:25 AST 2011,FALSE,,73571156640272304,-1,-1,,-1,null,-1,剔䕕,2,MoneySmart,"&lt;a href=""http://www.hootsuite.com"" rel=""nofollow""&gt;HootSuite&lt;/a&gt;"," @jjeffrose: Wow! Crazy pic from Joplin, MO. “@thegoodhuman: Google Street View before and after shows tornado's true destruction http ...",15041291
182287871,false,finalized,21,7/18/2012 20:27:28,Informative (Indirect),0.534,,,Mon May 23 14:23:53 AST 2011,FALSE,Joplin,72623783780954096,-1,-1,,-1,null,-1,FALSE,1,KevinSchwaller,"&lt;a href=""http://twitter.com/download/iphone"" rel=""nofollow""&gt;Twitter for iPhone&lt;/a&gt;",#Joplin http://t.co/tTpJSrw,19191105
182287872,false,finalized,22,7/18/2012 20:12:01,Other,0.4497,,,Sun Jun 05 23:48:55 AST 2011,FALSE,,77477020279377904,-1,-1,,-1,null,-1,FALSE,0,nicky02345,"&lt;a href=""http://www.tweetdeck.com"" rel=""nofollow""&gt;TweetDeck&lt;/a&gt;"," @BrianLynch: X-MEN:FC would have done better if they advertised it was the film debut of Marvel character ""Snappily Dressed Tornado Man.""",29593763
182287873,false,finalized,21,7/18/2012 21:12:40,Informative (Indirect),0.8764,,,Thu Jun 02 15:45:40 AST 2011,FALSE,,76268243832152000,-1,-1,,-1,null,-1,FALSE,0,PenguinSix,"&lt;a href=""http://www.tweetdeck.com"" rel=""nofollow""&gt;TweetDeck&lt;/a&gt;",Tornado sucks up a river.  http://is.gd/tutjk0,1429751
182287874,false,finalized,21,7/18/2012 21:12:40,Personal message,0.4923,,,Thu Jun 02 01:47:36 AST 2011,FALSE,TardyParty,76057335403003904,-1,-1,,-1,null,-1,FALSE,1,MillzOnTheMoon,"&lt;a href=""http://twitter.com/download/android"" rel=""nofollow""&gt;Twitter for Android&lt;/a&gt;",Tornado warning? More like late Rapture :D. #TardyParty,296394824
