191783056,Yesterday was supposed to be 70 and sunny/cold and rain. Today was supposed to be 90 and sunny guess what? Tornado warning #FUCKTOLEDOOHIO,caution and advice
191783057, @Juss2Live: News was goin crazy about tornado  warnings n it didn even rain ! -__- - shit was wild over in CT . 4 ppl died,caution and advice
191783058, @spann: Everybody on the campus of the University of Oklahoma should be in a tornado safe place now. #okwx,caution and advice
191783059,Almyra Arkansas tornado about to hit the ground,caution and advice
191783060,I hear the tornado sires going off now.  Buildings in downtown Kansas City being evacuated now! Tornado Warning.,caution and advice
191783061,Tornado watch canceled for Douglas County Coles County & Moultrie County,caution and advice
191783062,In the U.S. they have tornado watch.. In Saint John we have severe thunderstorm watch.. #Seriously? What's the point of thunderstorm watch?,caution and advice
191783063,At mssu for memorial service. #Joplin #superwindy,caution and advice
191783064,Thank god possible tornado moved away from this area. Praying this tornado doesn't really cause destruction!,caution and advice
191783065,Tornado headed toward us.... we're closing down for a while ...,caution and advice
191783066,It's A Tornado Out Here Lol Trees Falling Down And Shxt!!! I Gotta Get Out The Country...This Typa Shxt Don't Happen In New York Lol,caution and advice
191783067,Tornado watch and already thunder lightening and a splitting headache. What fun lies ahead (upstate NY)? #tornado,caution and advice
191783068, @rachelcaine: Tornado on the ground less than 5 miles away guys. On the ground in Bedford. SEEK SHELTER IMMEDIATELY.,caution and advice
191783069,Wow. Tornado reported over in Bellingham and Milford (two towns I drive through to go home from work) thankfully it didn't touchdown.,caution and advice
191783070, @CajunTechie: #Joplin #Missouri #tornado has been cancelled. More severe weather expected in the area tonight. Potentially severe. St ...,caution and advice
191783071,Possible #tornado on the ground near Ohio City #Ohio. Cell has very strong low level rotation! ** SEEK SHELTER ** #OHWX Follow 4 updates.,caution and advice
191783072,Tornado warning. #FML,caution and advice
191783073,@BeccasOnTweeter Girl you are tornado watching too much! If you need to get to safety OK!!,caution and advice
191783074,bitch it's a tornado.. ain't shit to be scared of! you betta get your bitch ass in the position they taught you in elementary!,caution and advice
191783075,Tornado forming over river awesome.  http://bit.ly/kUDYU2,caution and advice
191783076,I'm pretty sure that's the tornado siren.,caution and advice
191783077," @andybaldwin: Confirmed tornado on the ground in Dallas near Love Field. ""Softball-sized hail."" via @baxterholmes",caution and advice
191783078,That Tornado Warning Shit just came on my Tv..,caution and advice
191783079,@Lil_Wyte_ Man I swear #MotherNature has been pissed of in 2011. We got tornado warnings all over the Mtown&lt;&lt;she needs to get laid. haha,caution and advice
191783080,Murfreesboro PD confirming a tornado touchdown in Rutherford county. The storm is really cranking up here in the Lascassas Pike area....,caution and advice
191783081,Tornado alarms blasting in the city and all I'm thinking is Yippeee! I still have internet connection,caution and advice
191783082,Take cover Dallas!  @JimCantore DAMAGE IN DALLAS COUNTY NEAR EAGLE FORD TX REPOS OF LARGE #TORNADO ON GROUND #txwx,caution and advice
191783083,Tornado on ground in Southern Dallas County.,caution and advice
191783084,Emergency crews flying down highway toward Springfield at an alarming rate. Wish I stayed for the second #tornado.,caution and advice
191783085,Lol so there is a tornado warning outside n im at work -_-,caution and advice
191783086,Tornado heading up Nall into Leawood. This is far too close for comfort. YIKES! I'm seriously scared! #kcstorms #tornado #FB #praying,caution and advice
191783087,It was a tornado in GB but it's gone now  @TheeSBM: @Lil_Woadie wht tornado,caution and advice
191783088,"Tornado watch upgraded to warning in ctrl Oxfd Cty. Wther svc: ""Severe thunderstorm capable of producing a tornado 11 miles west of Bethel""",caution and advice
191783089,Is that the ice cream truck? No wait shit thats a tornado warning siren,caution and advice
191783090,There's a tornado warning around my area. :$,caution and advice
191783091, @wharman: Jeez Kansas City. You didn't have to organize such a dramatic welcome. #tornado Warning is lifted. We're going to have lun ...,caution and advice
191783092,Tornado warning?,caution and advice
191783093,If ing #tornado warnings note the time of the original tweet or information. Don't tweet old information--not helpful.,caution and advice
191783094,@BurnhamSWAT wow!! i was just in a tornado warning but it wasn't that bad! i hope it blows over fast!,caution and advice
191783095,@CarolineManzo yes they are it looks like a tornado is coming,caution and advice
191783096,am i the only one who's been in a soccer game when the tornado sirens go off?? OUTTA TOWN!...n a tornado actually hit it was SCARY!,caution and advice
191783097,Damn tornado warning don't mean shit 2 me. Motherfucka I have survived Katrina's bitch ass 2 tornados & a blizzard. Just another day 2 me,caution and advice
191783098,Tornado warning..ok im goin to take my bike nd go get something to eat,caution and advice
191783099,Just drove right under a tornado forming.....holy shit....are we home yet???????,caution and advice
191783100,@BorisVincze Yep same for us our tornado chances went down still sitting here ready to drive to safety though.,caution and advice
191783101,Looks like another tornado. Yep got all my books in the basement.,caution and advice
191783102,tornado warning issed for st. joseph county. sky is almost black.,caution and advice
191783103,@jbluther ... and now we're under a tornado watch for the same storm system that hit OK.,caution and advice
191783104, @JimmyMcIver:  @victoria_29: #Debris falling on #I 40 #Tornado has lifted a mile & 1/2 west of Casino/seems headed toward Tulsa h ...,caution and advice
191783105,Wow this tornado was WAY closer than Joplin :(,caution and advice
191783106,tornado warning and the mall on lockdown. oh shit. meridian goin nuts.,caution and advice
191783107, @whoaitsmonica: Sirens started going off. Tornado has officially touched down in my hometown super worried about my family right. #p ...,caution and advice
191783108,TAKE COVER!!! #TORNADO!!,caution and advice
191783109,Please be praying for everybody here in Joplin! Tornado sirens once again. :(,caution and advice
191783110,Tornado headed right for the sprint headquarters...dad if you see this I'm in Hannah's basement! #scared,caution and advice
191783111,Major tornado outbreak overnight. People need help and I'm feeling helpless.,caution and advice
191783112,there is tornado warnings so we might have to go to the celler,caution and advice
191783113,Were under a tornado warning and the sirens are going off like crazy ... I did sign up for this.,caution and advice
191783114,Winds are gusting tonight.  I'm in an area that DOES NOT get tornado's but we now have a tornado watch !!!  crazy......,caution and advice
191783115, @KellyKCTV5: cass johnson jackson layfatte county under tornado warnings rt now,caution and advice
191783116,The weather be scaring people the only thing we gonna get is alot of rain... No tornado.,caution and advice
191783117, @cindyrobuck:  @stormchaser4850: Developing: NWS meteorologists were tracking a tornado on the ground near Ramona SD moving NE at ...,caution and advice
191783118,Taking cover. Sirens going off. #tornado heading north along hwy 69 :/,caution and advice
191783119,Holy hell...a tornado warning for east of Grand Rapids MI!!!,caution and advice
191783120,Just remember if you are outside in a tornado you are screwed.  Indoors think about bathtub/mattress combo.,caution and advice
191783121,#tornado watch; needless to say im freaking out. and the most important part of my survival kit is missing &lt;/3,caution and advice
191783122,@imleftbehind I checked & sirens prob shouldn't have gone off in Crete b/c it was not in the tornado warning. better safe than sorry  ty!,caution and advice
191783123,Everybody go in y'all basements tornado coming lol..,caution and advice
191783124, @Hazewalker:  @david0monroe: Tornado sirens going off now in Cumberland #inwx  I Just Tweeted that!,caution and advice
191783125,the air smells of Tornado,caution and advice
191783126,Tornado Watch now for entire metro area.  Just issued.,caution and advice
191783127,Tornado sirens blaring in Brookside but hail ended for now.,caution and advice
191783128,Raining tornado warning hope everyone is ok,caution and advice
191783129,I just heard the tornado sirens and at first was like 'Dammit!!!' then remembered it's the first Wed of the month.,caution and advice
191783130,That was some apocalyptic weather that just hit.  I thought that was an impromptu tornado,caution and advice
191783131, @WSILNews: JEFFERSON GALLATIN POPE SALINE WILLIAMSON JACKSON PERRY IL ALL UNDER TORNADO WARNINGS. NOW IS THE TIME TO SEEK SHELTER.,caution and advice
191783132, @JimFreund: Apparently we have no exclusivity.  The tornado watch is for all SE NY.  http://1.usa.gov/mSPGdf,caution and advice
191783133,The #PDS #Tornado watch for parts of KY runs until 9pm CDT. Includes Bowling Green Louisville Paducah Ft. Campbell Franklin. #KYwx,caution and advice
191783134,praying for all the people who are under the tornado warnings right now! please be safe:) and keep your head held up high you'll make it .,caution and advice
191783135,Tornado hunters are on their way  @TorontoStar: Severe storms hit #hamont area - may have spawned a tornado http://bit.ly/kfL1Mc,caution and advice
191783136,Tornado Warning until 9:00 p.m. for DeSoto Marshall and Tate counties in Mississippi.,caution and advice
191783137,.@DLoesch @m_mccoy @colestreeper1 @Lindatini @aRuffLife - leave sap at Flying J alone and come join #WBC #joplin picket :),caution and advice
191783138, @Lady_Patriot: I think we're clear of the tornado now which means I can get on the *electric* bus now. #notthesafestplaceinastorm,caution and advice
191783139,Tornado Watch Ì¢‰âÂ‰ÛÏ Expiration http://nblo.gs/iBYgB,caution and advice
191783140,Tornado Warning for Butler and Preble Counties until 6:45 PM.,caution and advice
