"TweetID","User","Tweet","Latitude","Longitude","IsUrl","IsHashtag","IsRetweet","Language","Category","W_parking","W_ginawa","W_advisory","W_kaba","W_affected","W_pong","W_ilang","W_gusto","W_nagpabuhat","W_magvolunteer","W_mabasa","W_more","W_ngayon","W_open","W_contact","W_just","W_rescuer","Length"
"1","emmidejesus","Donate & Volunteer, click link for details https://t.co/aTZ01tnOUn Lingap Gabriela for #ReliefPH drive for #MarioPH flood victims in Manila",,,"1","1","0","en","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"22","beachysheng","You can also donate via Paypal. Click here http://t.co/wt07Yjlfax #TulongKabataan #ReliefPH #MarioPH",,,"1","1","0","en","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"23","BonitoAlentajan","RT @smsupermalls: PUBLIC SERVICE ADVISORY: Free overnight parking in SM malls for those affected by #MarioPH #ReliefPH http://t.co/7pMYcZzÃ?Â¢Ã¢â??Â¬Ã?Â¦",,,"1","1","1","en","D","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","20"
"24","margeemateo","RT @smsupermalls: PUBLIC SERVICE ADVISORY: Free overnight parking in SM malls for those affected by #MarioPH #ReliefPH http://t.co/7pMYcZzÃ?Â¢Ã¢â??Â¬Ã?Â¦",,,"1","1","1","en","D","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","20"
"25","LaoMamba","To those affected by #MarioPH you can go to PSBA-QC. Bukas ang schoo na ito para masilungan ng mga apektado. #FloodPH #RescuePH",,,"1","0","0","tl","D","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","24"
"26","LaoMamba","OPEN ANG PSBA-QC PARA MASILUNGAN NGAYON. Just contact 09272214969 for more info #FloodPH #RescuePH #MarioPH",,,"1","0","0","tl","D","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","16"
"32","erwinmappatao88","Ã?Â¢Ã¢â??Â¬Ã?â??@LaoMamba: OPEN ANG PSBA-QC PARA MASILUNGAN NGAYON. Just contact 09272214969 for more info #FloodPH #RescuePH #MarioPHÃ?Â¢Ã¢â??Â¬Ã?ï??","14.615083","121.000738","1","0","0","tl","D","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","20"
"33","akbayanyouth","RT: .@LaoMamba OPEN ANG PSBA-QC PARA MASILUNGAN NGAYON. Just contact 09272214969 for more info #FloodPH #RescuePH #MarioPH",,,"1","0","0","tl","D","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","20"
"34","risahontiveros","RT @akbayanyouth: RT: .@LaoMamba OPEN ANG PSBA-QC PARA MASILUNGAN NGAYON. Just contact 09272214969 for more info #FloodPH #RescuePH #MarioPH",,,"1","0","1","tl","D","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","23"
"35","leahnavarro","RT @akbayanyouth: RT: .@LaoMamba OPEN ANG PSBA-QC PARA MASILUNGAN NGAYON. Just contact 09272214969 for more info #FloodPH #RescuePH #MarioPH",,,"1","0","1","tl","D","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","23"
"36","pinoymommy","RT @akbayanyouth: RT: .@LaoMamba OPEN ANG PSBA-QC PARA MASILUNGAN NGAYON. Just contact 09272214969 for more info #FloodPH #RescuePH #MarioPH",,,"1","0","1","tl","D","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","23"
"37","pol_abreu","RT @akbayanyouth: RT: .@LaoMamba OPEN ANG PSBA-QC PARA MASILUNGAN NGAYON. Just contact 09272214969 for more info #FloodPH #RescuePH #MarioPH",,,"1","0","1","tl","D","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","23"
"38","kentdelasalas","RT @akbayanyouth: RT: .@LaoMamba OPEN ANG PSBA-QC PARA MASILUNGAN NGAYON. Just contact 09272214969 for more info #FloodPH #RescuePH #MarioPH",,,"1","0","1","tl","D","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","23"
"39","MsMichellPineda","RT @akbayanyouth: RT: .@LaoMamba OPEN ANG PSBA-QC PARA MASILUNGAN NGAYON. Just contact 09272214969 for more info #FloodPH #RescuePH #MarioPH",,,"1","0","1","tl","D","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","23"
"40","itsmitsu","RT @YouScoop: Nagpabuhat ang ilang residente para hindi mabasa ng baha sa Ortigas Extension. Kuha ni YouScooper Carlo #MarioPH http://t.co/Ã?Â¢Ã¢â??Â¬Ã?Â¦",,,"1","0","1","tl","D","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","22"
"41","lonecrescent","RT @YouScoop: Nagpabuhat ang ilang residente para hindi mabasa ng baha sa Ortigas Extension. Kuha ni YouScooper Carlo #MarioPH http://t.co/Ã?Â¢Ã¢â??Â¬Ã?Â¦",,,"1","0","1","tl","D","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","22"
"67","PelitaPeraltaUy","Sa Lahat ng patuloy na naninilbihan sa ating mga kaba bayan, salamat sa inyo . God Bless all of you abundantly . #MarioPH #RescuePH",,,"1","0","0","tl","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","25"
"78","ReliefPHcom","Metro Manila, Rizal: relief operations #MarioPHÃ?â??Ã? #reliefPH http://t.co/U5y5cyz9oL",,,"1","1","0","tl","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"82","def_filipino","Sa mga gusto pong magvolunteer. #ReliefPH http://t.co/8xttWXr5gR",,,"1","1","0","tl","D","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","8"
"192","karess","RT @TweetupMNL: Be a #RescuePH volunteer and help save our kababayans! (Pls. RT and share) http://t.co/hK162DKsYg",,,"1","0","1","en","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"193","moncorpuz","RT @TweetupMNL: Be a #RescuePH volunteer and help save our kababayans! (Pls. RT and share) http://t.co/hK162DKsYg",,,"1","0","1","en","D","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"287","CitizenPatrol","Ginawa na ding Evacuation center ang Aglipay,IFI Church at Bulelak cover court. #MarioPH #ReliefPH",,,"1","0","0","tl","D","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","17"
"291","sanjuncssr","RT @CitizenPatrol: Ginawa na ding Evacuation center ang Aglipay,IFI Church at Bulelak cover court. #MarioPH #ReliefPH",,,"1","0","1","tl","D","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","20"
"588","MariaRoann","RT @YouScoop: Ilang rescuer, umiikot sa Quezon City para tulungan ang mga residente na na-stranded sa baha. #MarioPH http://t.co/P5KShvdv2T",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","22"
"603","swish41_20","RT @YouScoop: Ilang rescuer, umiikot sa Quezon City para tulungan ang mga residente na na-stranded sa baha. #MarioPH http://t.co/P5KShvdv2T",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","22"
"611","peachygf","RT @YouScoop: Ilang rescuer, umiikot sa Quezon City para tulungan ang mga residente na na-stranded sa baha. #MarioPH http://t.co/P5KShvdv2T",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","22"
"613","wanwulf","RT @YouScoop: Ilang rescuer, umiikot sa Quezon City para tulungan ang mga residente na na-stranded sa baha. #MarioPH http://t.co/P5KShvdv2T",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","22"
"615","AweSAMpyo","RT @YouScoop: Ilang rescuer, umiikot sa Quezon City para tulungan ang mga residente na na-stranded sa baha. #MarioPH http://t.co/P5KShvdv2T",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","22"
"617","JosephDatalio","RT @YouScoop: Ilang rescuer, umiikot sa Quezon City para tulungan ang mga residente na na-stranded sa baha. #MarioPH http://t.co/P5KShvdv2T",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","22"
