"TweetID","User","Tweet","Latitude","Longitude","IsHashtag","IsURL","IsRetweet","Language","Category","W_#aksyonsahagupit","W_#rubyph","W_@_iancruz","W_@akosijaysent","W_@dzbb","W_@dzmmteleradyo","W_@gmanews","W_agutaya","W_all","W_ang","W_antas","W_at","W_bagyong","W_bilang","W_bukas","W_buong","W_catbalogan","W_city","W_cuyo","W_dahil","W_dec","W_dolores","W_eastern","W_evacuation","W_for","W_goods","W_gumaca","W_hangin","W_in","W_ipinagagamit","W_kuryente","W_laguna","W_lahat","W_magsaysay","W_manila","W_metro","W_muling","W_na","W_nang","W_ng","W_ni","W_of","W_palawan","W_pampanga","W_personnel","W_preso","W_ps36","W_quezon","W_rizal","W_romblon","W_rt","W_sa","W_samar","W_san","W_signal","W_tacloban","W_towns","W_transported","W_ulat","W_via","W_video","W_wala","N_#r","N_,_","N_._","N_/t","N_:/","N_:_","N_@d","N__#","N__@","N__a","N__b","N__h","N__k","N__m","N__n","N__s","N__v","N_a_","N_ac","N_ag","N_ah","N_al","N_an","N_as","N_at","N_ay","N_ba","N_bu","N_by","N_co","N_el","N_er","N_g_","N_ga","N_h_","N_ha","N_ia","N_il","N_in","N_la","N_li","N_ma","N_na","N_ng","N_on","N_ph","N_ro","N_ru","N_sa","N_t_","N_ta","N_te","N_to","N_tp","N_tt","N_ub","N_vi","N_yp","Length"
"1","marrialigaya","@ANCALERTS: NDRRMC: 3 dead due to #RubyPH tsk","14.752156","121.079288","1","0","0","tl","CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","10"
"2","IGMOlayvar","@DZMMTeleRadyo: Bubong at kisame ng Tacloban Airport, sinira ni #RubyPH http://t.co/FZHADakW9X http://t.co/0u0ziXbw9e grabe",,,"1","1","0","tl","CD","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","2","1","0","1","0","1","1","0","1","1","0","2","0","1","0","2","0","0","1","1","1","2","2","1","1","2","0","1","1","1","2","1","1","2","1","0","2","1","1","0","0","2","1","0","0","0","2","1","1","0","1","15"
"3","blujay_chabby","@gmanews: #RubyPH update mula sa press briefing ng DILG: Walang naitalang casualty sa Leyte. Good to hear. Sana sa ibang lugar din :)",,,"1","0","0","tl","CD","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1","0","1","0","1","0","2","0","0","3","5","0","0","0","4","3","2","2","2","1","0","0","0","1","1","0","0","1","0","1","5","1","1","2","0","0","0","0","0","1","1","1","0","1","2","0","0","1","1","0","0","5","1","1","0","4","27"
"4","MerryEdear","@gmanews: #RubyPH update mula sa press briefing ng DILG: Walang naitalang casualty sa Leyte. Thank you Lord! :)",,,"1","0","0","tl","CD","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","0","1","0","1","0","1","0","0","3","4","0","0","0","2","3","2","1","2","0","0","0","0","1","1","1","0","1","0","1","4","0","1","2","0","0","0","0","0","1","1","0","0","1","1","0","0","1","1","0","0","4","1","0","0","2","22"
"5","MarkGascon1","@gmanews: Bagsak na ang linya ng komunikasyon sa mga bayan sa Northeastern Samar. #RubyPH | via @PeeweeHero @dzbb","10.717486","125.794168","1","0","0","tl","CD","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","1","1","0","1","1","0","1","1","0","0","3","2","0","0","3","0","3","1","1","0","0","1","1","1","1","0","0","1","0","1","2","1","2","1","1","1","0","1","0","0","1","0","0","0","1","1","0","1","2","1","1","2","1","2","2","4","20"
"6","meecatok","@gmanews: Bagsak na ang linya ng komunikasyon sa mga bayan sa Northeastern Samar. #RubyPH | via @PeeweeHero @dzbb",,,"1","0","0","tl","CD","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","1","1","0","1","1","0","1","1","0","0","3","2","0","0","3","0","3","1","1","0","0","1","1","1","1","0","0","1","0","1","2","1","2","1","1","1","0","1","0","0","1","0","0","0","1","1","0","1","2","1","1","2","1","2","2","4","20"
"7","IamTheLawler","@gmanews: Bagsak na ang linya ng komunikasyon sa mga bayan sa Northeastern Samar. #RubyPH | via @PeeweeHero @dzbb keep safe everyone","14.815947","121.071702","1","0","0","tl","CD","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","1","1","0","1","1","0","1","1","0","0","3","3","0","0","4","0","3","1","1","0","0","1","1","1","1","0","0","1","0","1","2","1","2","1","2","1","0","2","0","0","1","0","0","0","1","1","0","1","2","1","1","2","1","2","2","5","23"
"8","ariescaringal","RT @gmanews: ROMBLON ‚?? As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent",,,"1","0","1","tl","CD","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","1","1","0","0","1","0","1","0","1","1","2","0","0","0","2","0","1","1","0","1","0","0","1","1","1","0","0","1","1","1","2","0","1","1","3","3","1","0","0","1","0","0","2","0","1","1","0","1","1","2","2","2","1","0","2","2","26"
"9","JholimaGlory","RT @gmanews: ROMBLON ‚?? As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent",,,"1","0","1","tl","CD","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","1","1","0","0","1","0","1","0","1","1","2","0","0","0","2","0","1","1","0","1","0","0","1","1","1","0","0","1","1","1","2","0","1","1","3","3","1","0","0","1","0","0","2","0","1","1","0","1","1","2","2","2","1","0","2","2","26"
"10","chingbee1","RT @gmanews: ROMBLON ‚?? As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent",,,"1","0","1","tl","CD","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","1","1","0","0","1","0","1","0","1","1","2","0","0","0","2","0","1","1","0","1","0","0","1","1","1","0","0","1","1","1","2","0","1","1","3","3","1","0","0","1","0","0","2","0","1","1","0","1","1","2","2","2","1","0","2","2","26"
