"TweetID";"User";"Tweet";"Latitude";"Longitude";"IsHashtag";"IsURL";"IsRetweet";"Language";"Category"
1;"emmidejesus";"Donate & Volunteer, click link for details  https://t.co/aTZ01tnOUn Lingap Gabriela for #ReliefPH drive for #MarioPH flood victims in Manila";"NULL";"NULL";1;1;0;"en";"D"
2;"USTRCYCENG";"RT @varsitarianust: Evacuees at Sto. Domingo Church in QC have reached 2.5k. @UST_CSC calling for volunteers tomorrow, 6am call time. #ReliŠ—_";"NULL";"NULL";1;0;1;"en";"CH"
3;"CitizenPatrol";"Aabot sa 2,000 Evacuees sa Sto. Domingo Church nangangailangan ng tubig.  #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CH"
4;"yelpalisoc";"@philredcross #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryente at pagkain.";"NULL";"NULL";1;0;0;"tl";"CH"
5;"AngerikBabies41";"Camacho Street Kabayani Road Nangka Marikina needs food and water. Pls. help  #ReliefPH #RescuePH #FloodPH #MarioPH @TVPatrol @ABSCBNNews";"NULL";"NULL";1;0;0;"tl";"CH"
6;"IvanGeroDomingo";"Paki rescue po Luloy Cerbito Macopa St, Banawe QC. Yung may maliit na basketball court dun. #RescuePH";"NULL";"NULL";1;0;0;"tl";"CH"
7;"CitizenPatrol";"Isang Ginang natrapped sa bubong sa Blk.44 mais street bgy.tumana.  #MarioPH #RescuePH";"NULL";"NULL";1;0;0;"tl";"CH"
8;"CitizenPatrol";"Aabot sa 2,000 Evacuees sa Sto. Domingo Church nangangailangan ng tubig.  #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CH"
9;"Iam_rjb05";"Wala kuryeryente saamin (-_-) #NoPower â€” at Mambalon Mahabang Parang Binangonan Rizal http://t.co/DUHTtrneH0";"NULL";"NULL";1;1;0;"tl";"CH"
10;"CitizenPatrol";"Sa Quezon City ,Ilang pamilya, lumikas na sa Holy Family Church sa Roxas District at  walang pa ring kuryente ngayon. #MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"D"
11;"garcia_brielle";"RT @ReliefPHcom: Nangka Marikina: call for food and water #urgentcalls #MarioPHÂ #reliefPH http://t.co/wFOMtdRSqL";"NULL";"NULL";1;1;1;"tl";"CH"
12;"yelpalisoc";"@TheMayorLIM Sir pahelp po magRT #ReliefPH sa Leodegracio Victorino Elem. School po may mga evacuees po, wala daw pong kuryente at pagkain.";"NULL";"NULL";1;0;0;"tl";"CH"
13;"yelpalisoc";"@ABSCBNNews #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryente at pagkain.";"NULL";"NULL";1;0;0;"tl";"CH"
14;"yelpalisoc";"@SagipKapamilya  #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryente at pagkain.";"NULL";"NULL";1;0;0;"tl";"CH"
15;"alcantarajohann";"RT @yelpalisoc: @philredcross #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryentâ€¦";"NULL";"NULL";1;0;1;"tl";"CH"
16;"justcallmelloyd";"RT @yelpalisoc: @philredcross #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryentâ€¦";"NULL";"NULL";1;0;1;"tl";"CH"
17;"yelpalisoc";"@philredcross #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryente at pagkain.";"NULL";"NULL";1;0;0;"tl";"CH"
18;"AngerikBabies41";"Camacho Street Kabayani Road Nangka Marikina needs food and water. Pls. help  #ReliefPH #RescuePH #FloodPH #MarioPH @TVPatrol @ABSCBNNews";"NULL";"NULL";1;0;0;"tl";"CH"
19;"yelpalisoc";"@ABSCBNRedAlert #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryente at pagkain.";"NULL";"NULL";1;0;0;"tl";"CH"
20;"garcia_brielle";"RT @AngerikBabies41: Camacho Street Kabayani Road Nangka Marikina needs food and water. Pls. help  #ReliefPH #MarioPH @ABSCBNNews @bayanmo";"NULL";"NULL";1;0;1;"tl";"CH"
21;"FoxRn1";"RT @ReliefPHcom: Marikina: relief goods #urgentcalls #MarioPHÂ #reliefPH http://t.co/C5Aohr0o7M";"NULL";"NULL";1;1;1;"en";"D"
22;"beachysheng";"""You can also donate via Paypal. Click here http://t.co/wt07Yjlfax #TulongKabataan #ReliefPH #MarioPH""";"NULL";"NULL";1;1;0;"en";"D"
23;"BonitoAlentajan";"RT @smsupermalls: PUBLIC SERVICE ADVISORY: Free overnight parking in SM  malls for those affected by #MarioPH #ReliefPH http://t.co/7pMYcZzâ€¦";"NULL";"NULL";1;1;1;"en";"D"
24;"margeemateo";"RT @smsupermalls: PUBLIC SERVICE ADVISORY: Free overnight parking in SM  malls for those affected by #MarioPH #ReliefPH http://t.co/7pMYcZzâ€¦";"NULL";"NULL";1;1;1;"en";"D"
25;"LaoMamba";"To those affected by #MarioPH you can go to PSBA-QC. Bukas ang schoo na ito para masilungan ng mga apektado. #FloodPH #RescuePH";"NULL";"NULL";1;0;0;"tl";"D"
26;"LaoMamba";"OPEN ANG PSBA-QC PARA MASILUNGAN NGAYON. Just contact 09272214969 for more info #FloodPH #RescuePH #MarioPH";"NULL";"NULL";1;0;0;"tl";"D"
27;"franciscojessdj";"RT @gmanews: MARILAO, BULACAN â€” Abot leeg na ang baha sa ilang lugar. Ilang residente ang inilikas. #MarioPH update ni John Consulta.";"NULL";"NULL";1;0;1;"tl";"CA"
